Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
Afghanistan,2018,AFG,65.942
Albania,2018,ALB,81.001
Algeria,2018,DZA,76.928
American Samoa,2018,ASM,75.687
Andorra,2018,AND,86.196
Angola,2018,AGO,65.057
Antigua and Barbuda,2018,ATG,79.887
Argentina,2018,ARG,79.505
Armenia,2018,ARM,79.000
Aruba,2018,ABW,78.708
Australia,2018,AUS,84.900
Austria,2018,AUT,84.100
Azerbaijan,2018,AZE,75.946
"Bahamas, The",2018,BHS,77.731
Bahrain,2018,BHR,81.507
Bangladesh,2018,BGD,73.953
Barbados,2018,BRB,78.427
Belarus,2018,BLR,79.400
Belgium,2018,BEL,83.900
Belize,2018,BLZ,75.450
Benin,2018,BEN,60.752
Bermuda,2018,BMU,84.842
Bhutan,2018,BTN,73.585
Bolivia,2018,BOL,70.132
Bosnia and Herzegovina,2018,BIH,81.435
Botswana,2018,BWA,68.696
Brazil,2018,BRA,78.977
British Virgin Islands,2018,VGB,79.556
Brunei Darussalam,2018,BRN,77.230
Bulgaria,2018,BGR,78.600
Burkina Faso,2018,BFA,61.604
Burundi,2018,BDI,63.615
Cabo Verde,2018,CPV,78.239
Cambodia,2018,KHM,72.389
Cameroon,2018,CMR,63.334
Canada,2018,CAN,83.960
Cayman Islands,2018,CYM,81.291
Central African Republic,2018,CAF,55.201
Chad,2018,TCD,53.903
Channel Islands,2018,CHI,83.500
Chile,2018,CHL,82.776
China,2018,CHN,80.573
Colombia,2018,COL,79.517
Comoros,2018,COM,67.392
"Congo, Dem. Rep.",2018,COD,61.816
"Congo, Rep.",2018,COG,66.017
Costa Rica,2018,CRI,82.961
Cote d'Ivoire,2018,CIV,61.756
Croatia,2018,HRV,81.300
Cuba,2018,CUB,79.899
Curacao,2018,CUW,80.507
Cyprus,2018,CYP,83.765
Czechia,2018,CZE,82.000
Denmark,2018,DNK,82.900
Djibouti,2018,DJI,66.592
Dominica,2018,DMA,74.421
Dominican Republic,2018,DOM,76.936
Ecuador,2018,ECU,79.877
"Egypt, Arab Rep.",2018,EGY,73.209
El Salvador,2018,SLV,75.944
Equatorial Guinea,2018,GNQ,63.718
Eritrea,2018,ERI,69.035
Estonia,2018,EST,82.700
Eswatini,2018,SWZ,61.391
Ethiopia,2018,ETH,68.298
Faroe Islands,2018,FRO,84.700
Fiji,2018,FJI,69.014
Finland,2018,FIN,84.500
France,2018,FRA,85.800
French Polynesia,2018,PYF,85.572
Gabon,2018,GAB,69.421
"Gambia, The",2018,GMB,65.516
Georgia,2018,GEO,78.750
Germany,2018,DEU,83.300
Ghana,2018,GHA,66.164
Gibraltar,2018,GIB,85.649
Greece,2018,GRC,84.400
Greenland,2018,GRL,74.170
Grenada,2018,GRD,78.168
Guam,2018,GUM,80.824
Guatemala,2018,GTM,73.817
Guinea,2018,GIN,60.217
Guinea-Bissau,2018,GNB,63.770
Guyana,2018,GUY,72.615
Haiti,2018,HTI,66.988
Honduras,2018,HND,74.600
"Hong Kong SAR, China",2018,HKG,87.610
Hungary,2018,HUN,79.600
Iceland,2018,ISL,84.500
India,2018,IND,71.963
Indonesia,2018,IDN,72.113
"Iran, Islamic Rep.",2018,IRN,78.612
Iraq,2018,IRQ,72.842
Ireland,2018,IRL,84.100
Isle of Man,2018,IMN,82.546
Israel,2018,ISR,84.800
Italy,2018,ITA,85.600
Jamaica,2018,JAM,74.038
Japan,2018,JPN,87.320
Jordan,2018,JOR,78.834
Kazakhstan,2018,KAZ,77.503
Kenya,2018,KEN,65.003
Kiribati,2018,KIR,67.436
"Korea, Dem. People's Rep.",2018,PRK,75.640
"Korea, Rep.",2018,KOR,85.700
Kosovo,2018,XKX,79.177
Kuwait,2018,KWT,81.435
Kyrgyz Republic,2018,KGZ,75.600
Lao PDR,2018,LAO,69.815
Latvia,2018,LVA,79.700
Lebanon,2018,LBN,80.093
Lesotho,2018,LSO,57.055
Liberia,2018,LBR,62.173
Libya,2018,LBY,76.170
Liechtenstein,2018,LIE,85.500
Lithuania,2018,LTU,80.700
Luxembourg,2018,LUX,84.600
"Macao SAR, China",2018,MAC,86.700
Madagascar,2018,MDG,65.102
Malawi,2018,MWI,67.918
Malaysia,2018,MYS,78.431
Maldives,2018,MDV,81.136
Mali,2018,MLI,60.064
Malta,2018,MLT,84.400
Marshall Islands,2018,MHL,68.227
Mauritania,2018,MRT,69.258
Mauritius,2018,MUS,77.720
Mexico,2018,MEX,77.130
"Micronesia, Fed. Sts.",2018,FSM,69.151
Moldova,2018,MDA,74.665
Monaco,2018,MCO,88.369
Mongolia,2018,MNG,75.780
Montenegro,2018,MNE,80.600
Morocco,2018,MAR,75.994
Mozambique,2018,MOZ,63.093
Myanmar,2018,MMR,69.224
Namibia,2018,NAM,66.183
Nauru,2018,NRU,64.093
Nepal,2018,NPL,70.422
Netherlands,2018,NLD,83.400
New Caledonia,2018,NCL,80.368
New Zealand,2018,NZL,83.500
Nicaragua,2018,NIC,76.628
Niger,2018,NER,60.658
Nigeria,2018,NGA,52.914
North Macedonia,2018,MKD,78.800
Northern Mariana Islands,2018,MNP,79.474
Norway,2018,NOR,84.500
Oman,2018,OMN,81.793
Pakistan,2018,PAK,68.938
Palau,2018,PLW,72.192
Panama,2018,PAN,81.412
Papua New Guinea,2018,PNG,68.167
Paraguay,2018,PRY,76.745
Peru,2018,PER,78.259
Philippines,2018,PHL,72.807
Poland,2018,POL,81.700
Portugal,2018,PRT,84.500
Puerto Rico,2018,PRI,84.616
Qatar,2018,QAT,83.800
Romania,2018,ROU,79.200
Russian Federation,2018,RUS,77.820
Rwanda,2018,RWA,68.421
Samoa,2018,WSM,73.028
San Marino,2018,SMR,86.648
Sao Tome and Principe,2018,STP,71.335
Saudi Arabia,2018,SAU,80.543
Senegal,2018,SEN,69.243
Serbia,2018,SRB,78.400
Seychelles,2018,SYC,77.400
Sierra Leone,2018,SLE,60.251
Singapore,2018,SGP,85.500
Sint Maarten (Dutch part),2018,SXM,78.595
Slovak Republic,2018,SVK,80.800
Slovenia,2018,SVN,84.400
Solomon Islands,2018,SLB,71.231
Somalia,2018,SOM,56.911
South Africa,2018,ZAF,68.906
South Sudan,2018,SSD,54.673
Spain,2018,ESP,86.300
Sri Lanka,2018,LKA,79.812
St. Kitts and Nevis,2018,KNA,75.327
St. Lucia,2018,LCA,76.271
St. Martin (French part),2018,MAF,83.849
St. Vincent and the Grenadines,2018,VCT,74.166
Sudan,2018,SDN,68.381
Suriname,2018,SUR,74.798
Sweden,2018,SWE,84.300
Switzerland,2018,CHE,85.700
Syrian Arab Republic,2018,SYR,72.185
Tajikistan,2018,TJK,72.974
Tanzania,2018,TZA,68.251
Thailand,2018,THA,81.629
Timor-Leste,2018,TLS,67.955
Togo,2018,TGO,60.782
Tonga,2018,TON,75.873
Trinidad and Tobago,2018,TTO,75.896
Tunisia,2018,TUN,78.007
Turkiye,2018,TUR,80.634
Turkmenistan,2018,TKM,72.231
Turks and Caicos Islands,2018,TCA,79.879
Tuvalu,2018,TUV,69.511
Uganda,2018,UGA,68.473
Ukraine,2018,UKR,78.326
United Arab Emirates,2018,ARE,83.912
United Kingdom,2018,GBR,83.100
United States,2018,USA,81.200
Uruguay,2018,URY,81.501
Uzbekistan,2018,UZB,75.174
Vanuatu,2018,VUT,73.147
"Venezuela, RB",2018,VEN,76.554
Vietnam,2018,VNM,78.863
Virgin Islands (U.S.),2018,VIR,82.900
West Bank and Gaza,2018,PSE,77.609
"Yemen, Rep.",2018,YEM,69.883
Zambia,2018,ZMB,64.533
Zimbabwe,2018,ZWE,62.741
