Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
Greenland,2016,GRL,74.210
Grenada,2016,GRD,78.044
Guam,2016,GUM,80.715
Guatemala,2016,GTM,73.818
Guinea,2016,GIN,59.631
Guinea-Bissau,2016,GNB,62.687
Guyana,2016,GUY,71.897
Haiti,2016,HTI,66.053
Honduras,2016,HND,74.155
"Hong Kong SAR, China",2016,HKG,87.300
Hungary,2016,HUN,79.700
Iceland,2016,ISL,84.100
India,2016,IND,71.297
Indonesia,2016,IDN,71.692
"Iran, Islamic Rep.",2016,IRN,78.109
Iraq,2016,IRQ,72.145
Ireland,2016,IRL,83.600
Isle of Man,2016,IMN,82.099
Israel,2016,ISR,84.200
Italy,2016,ITA,85.600
Jamaica,2016,JAM,74.233
Japan,2016,JPN,87.140
Jordan,2016,JOR,77.814
Kazakhstan,2016,KAZ,76.876
Kenya,2016,KEN,64.669
Kiribati,2016,KIR,67.406
"Korea, Dem. People's Rep.",2016,PRK,75.198
"Korea, Rep.",2016,KOR,85.400
Kosovo,2016,XKX,78.864
Kuwait,2016,KWT,80.997
Kyrgyz Republic,2016,KGZ,75.100
Lao PDR,2016,LAO,69.260
Latvia,2016,LVA,79.600
Lebanon,2016,LBN,80.171
Lesotho,2016,LSO,55.325
Liberia,2016,LBR,61.628
Libya,2016,LBY,75.483
Liechtenstein,2016,LIE,84.000
Lithuania,2016,LTU,80.100
Luxembourg,2016,LUX,85.400
"Macao SAR, China",2016,MAC,86.400
Madagascar,2016,MDG,65.047
Malawi,2016,MWI,66.201
Malaysia,2016,MYS,78.130
Maldives,2016,MDV,80.403
Mali,2016,MLI,59.302
Malta,2016,MLT,84.400
Marshall Islands,2016,MHL,67.799
Mauritania,2016,MRT,68.771
Mauritius,2016,MUS,77.760
Mexico,2016,MEX,76.962
"Micronesia, Fed. Sts.",2016,FSM,68.588
Moldova,2016,MDA,74.650
Monaco,2016,MCO,88.290
Mongolia,2016,MNG,75.100
Montenegro,2016,MNE,79.000
Morocco,2016,MAR,75.064
Mozambique,2016,MOZ,61.521
Myanmar,2016,MMR,68.673
Namibia,2016,NAM,64.091
Nauru,2016,NRU,64.165
Nepal,2016,NPL,69.771
Netherlands,2016,NLD,83.200
New Caledonia,2016,NCL,80.231
New Zealand,2016,NZL,83.400
Nicaragua,2016,NIC,75.845
Niger,2016,NER,60.106
Nigeria,2016,NGA,52.429
North Macedonia,2016,MKD,77.500
Northern Mariana Islands,2016,MNP,79.429
Norway,2016,NOR,84.200
Oman,2016,OMN,81.498
Pakistan,2016,PAK,68.396
Palau,2016,PLW,72.497
Panama,2016,PAN,80.911
Papua New Guinea,2016,PNG,67.769
Paraguay,2016,PRY,76.599
Peru,2016,PER,78.209
Philippines,2016,PHL,72.749
Poland,2016,POL,82.000
Portugal,2016,PRT,84.300
Puerto Rico,2016,PRI,83.803
Qatar,2016,QAT,83.190
Romania,2016,ROU,79.000
Russian Federation,2016,RUS,77.060
Rwanda,2016,RWA,67.756
Samoa,2016,WSM,73.092
San Marino,2016,SMR,86.421
Sao Tome and Principe,2016,STP,69.986
Saudi Arabia,2016,SAU,80.112
Senegal,2016,SEN,68.543
Serbia,2016,SRB,78.300
Seychelles,2016,SYC,80.200
Sierra Leone,2016,SLE,57.857
Singapore,2016,SGP,85.100
Sint Maarten (Dutch part),2016,SXM,79.028
Slovak Republic,2016,SVK,80.700
Slovenia,2016,SVN,84.300
Solomon Islands,2016,SLB,71.026
Somalia,2016,SOM,57.554
South Africa,2016,ZAF,67.916
South Sudan,2016,SSD,39.993
Spain,2016,ESP,86.300
Sri Lanka,2016,LKA,79.507
St. Kitts and Nevis,2016,KNA,75.173
St. Lucia,2016,LCA,75.870
St. Martin (French part),2016,MAF,83.701
St. Vincent and the Grenadines,2016,VCT,73.654
Sudan,2016,SDN,67.678
Suriname,2016,SUR,74.324
Sweden,2016,SWE,84.100
Switzerland,2016,CHE,85.600
Syrian Arab Republic,2016,SYR,71.924
Tajikistan,2016,TJK,72.317
Tanzania,2016,TZA,66.844
Thailand,2016,THA,81.105
Timor-Leste,2016,TLS,67.311
Togo,2016,TGO,59.904
Tonga,2016,TON,75.701
Trinidad and Tobago,2016,TTO,75.978
Tunisia,2016,TUN,77.588
Turkiye,2016,TUR,79.858
Turkmenistan,2016,TKM,72.153
Turks and Caicos Islands,2016,TCA,79.708
Tuvalu,2016,TUV,69.084
Uganda,2016,UGA,67.102
Ukraine,2016,UKR,78.004
United Arab Emirates,2016,ARE,83.529
United Kingdom,2016,GBR,83.000
United States,2016,USA,81.100
Uruguay,2016,URY,81.013
Uzbekistan,2016,UZB,74.493
Vanuatu,2016,VUT,73.004
"Venezuela, RB",2016,VEN,76.793
Vietnam,2016,VNM,78.762
Virgin Islands (U.S.),2016,VIR,82.600
West Bank and Gaza,2016,PSE,77.053
"Yemen, Rep.",2016,YEM,69.961
Zambia,2016,ZMB,63.259
Zimbabwe,2016,ZWE,61.401
