Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
Afghanistan,2014,AFG,64.009
Albania,2014,ALB,80.267
Algeria,2014,DZA,76.183
American Samoa,2014,ASM,75.296
Andorra,2014,AND,86.626
Angola,2014,AGO,62.728
Antigua and Barbuda,2014,ATG,80.138
Argentina,2014,ARG,79.150
Armenia,2014,ARM,78.100
Aruba,2014,ABW,78.124
Australia,2014,AUS,84.400
Austria,2014,AUT,84.000
Azerbaijan,2014,AZE,74.818
"Bahamas, The",2014,BHS,77.749
Bahrain,2014,BHR,81.190
Bangladesh,2014,BGD,72.095
Barbados,2014,BRB,78.055
Belarus,2014,BLR,78.400
Belgium,2014,BEL,83.900
Belize,2014,BLZ,74.552
Benin,2014,BEN,59.960
Bermuda,2014,BMU,84.535
Bhutan,2014,BTN,72.215
Bolivia,2014,BOL,69.300
Bosnia and Herzegovina,2014,BIH,80.190
Botswana,2014,BWA,64.087
Brazil,2014,BRA,78.273
British Virgin Islands,2014,VGB,79.364
Brunei Darussalam,2014,BRN,77.107
Bulgaria,2014,BGR,78.000
Burkina Faso,2014,BFA,59.874
Burundi,2014,BDI,61.330
Cabo Verde,2014,CPV,77.341
Cambodia,2014,KHM,71.404
Cameroon,2014,CMR,61.067
Canada,2014,CAN,83.910
Cayman Islands,2014,CYM,80.403
Central African Republic,2014,CAF,45.664
Chad,2014,TCD,52.307
Channel Islands,2014,CHI,83.800
Chile,2014,CHL,81.983
China,2014,CHN,79.510
Colombia,2014,COL,78.924
Comoros,2014,COM,65.981
"Congo, Dem. Rep.",2014,COD,59.938
"Congo, Rep.",2014,COG,64.772
Costa Rica,2014,CRI,82.860
Cote d'Ivoire,2014,CIV,59.462
Croatia,2014,HRV,80.900
Cuba,2014,CUB,79.981
Curacao,2014,CUW,80.051
Cyprus,2014,CYP,83.706
Czechia,2014,CZE,82.000
Denmark,2014,DNK,82.800
Djibouti,2014,DJI,64.857
Dominica,2014,DMA,73.950
Dominican Republic,2014,DOM,76.756
Ecuador,2014,ECU,78.618
"Egypt, Arab Rep.",2014,EGY,72.310
El Salvador,2014,SLV,75.721
Equatorial Guinea,2014,GNQ,61.858
Eritrea,2014,ERI,67.461
Estonia,2014,EST,81.900
Eswatini,2014,SWZ,55.606
Ethiopia,2014,ETH,65.558
Faroe Islands,2014,FRO,84.000
Fiji,2014,FJI,69.066
Finland,2014,FIN,84.100
France,2014,FRA,86.100
French Polynesia,2014,PYF,84.827
Gabon,2014,GAB,68.385
"Gambia, The",2014,GMB,63.822
Georgia,2014,GEO,77.592
