Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
Afghanistan,2015,AFG,64.178
Albania,2015,ALB,80.451
Algeria,2015,DZA,76.377
American Samoa,2015,ASM,75.268
Andorra,2015,AND,86.584
Angola,2015,AGO,63.412
Antigua and Barbuda,2015,ATG,79.973
Argentina,2015,ARG,79.795
Armenia,2015,ARM,78.200
Aruba,2015,ABW,78.139
Australia,2015,AUS,84.500
Austria,2015,AUT,83.700
Azerbaijan,2015,AZE,75.344
"Bahamas, The",2015,BHS,77.443
Bahrain,2015,BHR,81.344
Bangladesh,2015,BGD,72.597
Barbados,2015,BRB,78.157
Belarus,2015,BLR,78.900
Belgium,2015,BEL,83.400
Belize,2015,BLZ,74.803
Benin,2015,BEN,60.096
Bermuda,2015,BMU,84.543
Bhutan,2015,BTN,72.487
Bolivia,2015,BOL,69.552
Bosnia and Herzegovina,2015,BIH,80.177
Botswana,2015,BWA,65.183
Brazil,2015,BRA,78.472
British Virgin Islands,2015,VGB,79.391
Brunei Darussalam,2015,BRN,77.124
Bulgaria,2015,BGR,78.200
Burkina Faso,2015,BFA,60.364
Burundi,2015,BDI,61.874
Cabo Verde,2015,CPV,77.616
Cambodia,2015,KHM,71.717
Cameroon,2015,CMR,61.658
Canada,2015,CAN,83.890
Cayman Islands,2015,CYM,80.627
Central African Republic,2015,CAF,54.187
Chad,2015,TCD,52.548
Channel Islands,2015,CHI,83.600
Chile,2015,CHL,82.297
China,2015,CHN,79.785
Colombia,2015,COL,78.988
Comoros,2015,COM,66.349
"Congo, Dem. Rep.",2015,COD,60.397
"Congo, Rep.",2015,COG,65.133
Costa Rica,2015,CRI,83.280
Cote d'Ivoire,2015,CIV,60.022
Croatia,2015,HRV,80.400
Cuba,2015,CUB,79.986
Curacao,2015,CUW,80.337
Cyprus,2015,CYP,83.855
Czechia,2015,CZE,81.600
Denmark,2015,DNK,82.700
Djibouti,2015,DJI,65.313
Dominica,2015,DMA,72.395
Dominican Republic,2015,DOM,76.376
Ecuador,2015,ECU,78.621
"Egypt, Arab Rep.",2015,EGY,72.518
El Salvador,2015,SLV,75.666
Equatorial Guinea,2015,GNQ,62.290
Eritrea,2015,ERI,67.897
