Economy,Year,Economy Code,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
Afghanistan,2019,AFG,70.967
Albania,2019,ALB,14.949
Algeria,2019,DZA,10.328
American Samoa,2019,ASM,34.278
Andorra,2019,AND,3.526
Angola,2019,AGO,145.094
Antigua and Barbuda,2019,ATG,31.691
Argentina,2019,ARG,41.751
Armenia,2019,ARM,16.328
Aruba,2019,ABW,22.123
Australia,2019,AUS,8.763
Austria,2019,AUT,5.290
Azerbaijan,2019,AZE,47.851
"Bahamas, The",2019,BHS,26.003
Bahrain,2019,BHR,9.160
Bangladesh,2019,BGD,79.151
Barbados,2019,BRB,46.030
Belarus,2019,BLR,11.351
Belgium,2019,BEL,5.204
Belize,2019,BLZ,65.575
Benin,2019,BEN,83.840
Bermuda,2019,BMU,3.028
Bhutan,2019,BTN,8.139
Bolivia,2019,BOL,68.460
Bosnia and Herzegovina,2019,BIH,11.354
Botswana,2019,BWA,56.259
Brazil,2019,BRA,50.958
British Virgin Islands,2019,VGB,13.492
Brunei Darussalam,2019,BRN,10.042
Bulgaria,2019,BGR,39.169
Burkina Faso,2019,BFA,96.659
Burundi,2019,BDI,56.534
Cabo Verde,2019,CPV,45.194
Cambodia,2019,KHM,50.200
Cameroon,2019,CMR,114.634
Canada,2019,CAN,6.432
Cayman Islands,2019,CYM,11.533
Central African Republic,2019,CAF,164.921
Chad,2019,TCD,143.291
Channel Islands,2019,CHI,9.322
Chile,2019,CHL,18.968
China,2019,CHN,8.277
Colombia,2019,COL,64.278
Comoros,2019,COM,59.294
"Congo, Dem. Rep.",2019,COD,111.141
"Congo, Rep.",2019,COG,114.540
Costa Rica,2019,CRI,42.097
Cote d'Ivoire,2019,CIV,99.014
Croatia,2019,HRV,8.687
Cuba,2019,CUB,51.098
Curacao,2019,CUW,15.763
Cyprus,2019,CYP,6.974
Czechia,2019,CZE,9.834
Denmark,2019,DNK,2.056
Djibouti,2019,DJI,20.015
Dominica,2019,DMA,36.168
Dominican Republic,2019,DOM,66.982
Ecuador,2019,ECU,67.976
"Egypt, Arab Rep.",2019,EGY,43.989
El Salvador,2019,SLV,57.724
Equatorial Guinea,2019,GNQ,158.817
Eritrea,2019,ERI,68.343
Estonia,2019,EST,8.383
Eswatini,2019,SWZ,73.228
Ethiopia,2019,ETH,74.505
Faroe Islands,2019,FRO,6.188
Fiji,2019,FJI,22.047
Finland,2019,FIN,4.048
France,2019,FRA,6.127
French Polynesia,2019,PYF,28.526
Gabon,2019,GAB,97.632
"Gambia, The",2019,GMB,63.374
Georgia,2019,GEO,29.594
Germany,2019,DEU,7.126
Ghana,2019,GHA,64.279
Gibraltar,2019,GIB,8.689
Greece,2019,GRC,8.400
Greenland,2019,GRL,37.615
Grenada,2019,GRD,31.587
Guam,2019,GUM,35.293
Guatemala,2019,GTM,77.103
Guinea,2019,GIN,126.258
Guinea-Bissau,2019,GNB,87.043
Guyana,2019,GUY,75.615
Haiti,2019,HTI,53.620
Honduras,2019,HND,85.131
"Hong Kong SAR, China",2019,HKG,2.233
Hungary,2019,HUN,21.404
Iceland,2019,ISL,4.880
India,2019,IND,14.796
Indonesia,2019,IDN,28.876
"Iran, Islamic Rep.",2019,IRN,29.369
Iraq,2019,IRQ,63.067
Ireland,2019,IRL,5.447
Isle of Man,2019,IMN,9.220
Israel,2019,ISR,7.481
Italy,2019,ITA,3.680
Jamaica,2019,JAM,37.741
Japan,2019,JPN,2.772
Jordan,2019,JOR,22.573
Kazakhstan,2019,KAZ,22.036
Kenya,2019,KEN,63.656
Kiribati,2019,KIR,49.038
"Korea, Dem. People's Rep.",2019,PRK,0.560
"Korea, Rep.",2019,KOR,0.925
Kosovo,2019,XKX,8.010
Kuwait,2019,KWT,4.499
Kyrgyz Republic,2019,KGZ,37.279
Lao PDR,2019,LAO,84.037
Latvia,2019,LVA,11.993
Lebanon,2019,LBN,22.046
Lesotho,2019,LSO,76.564
Liberia,2019,LBR,132.002
Libya,2019,LBY,6.610
Liechtenstein,2019,LIE,1.992
Lithuania,2019,LTU,10.518
Luxembourg,2019,LUX,4.249
"Macao SAR, China",2019,MAC,1.318
Madagascar,2019,MDG,136.380
Malawi,2019,MWI,120.579
Malaysia,2019,MYS,8.450
Maldives,2019,MDV,6.866
Mali,2019,MLI,144.648
Malta,2019,MLT,11.578
Marshall Islands,2019,MHL,73.127
Mauritania,2019,MRT,94.333
Mauritius,2019,MUS,22.830
Mexico,2019,MEX,63.359
"Micronesia, Fed. Sts.",2019,FSM,45.700
Moldova,2019,MDA,28.163
Monaco,2019,MCO,10.432
Mongolia,2019,MNG,29.724
Montenegro,2019,MNE,10.741
Morocco,2019,MAR,27.339
Mozambique,2019,MOZ,161.320
Myanmar,2019,MMR,34.355
Namibia,2019,NAM,71.902
Nauru,2019,NRU,80.497
Nepal,2019,NPL,71.667
Netherlands,2019,NLD,2.505
New Caledonia,2019,NCL,13.927
New Zealand,2019,NZL,13.083
Nicaragua,2019,NIC,97.665
Niger,2019,NER,157.051
Nigeria,2019,NGA,92.622
North Macedonia,2019,MKD,17.250
Northern Mariana Islands,2019,MNP,27.527
Norway,2019,NOR,2.227
Oman,2019,OMN,8.551
Pakistan,2019,PAK,45.589
Palau,2019,PLW,30.425
Panama,2019,PAN,69.342
Papua New Guinea,2019,PNG,57.004
Paraguay,2019,PRY,74.016
Peru,2019,PER,47.308
Philippines,2019,PHL,38.109
Poland,2019,POL,9.522
Portugal,2019,PRT,7.608
Puerto Rico,2019,PRI,18.858
Qatar,2019,QAT,7.000
Romania,2019,ROU,35.210
Russian Federation,2019,RUS,14.271
Rwanda,2019,RWA,32.019
Samoa,2019,WSM,47.107
San Marino,2019,SMR,1.120
Sao Tome and Principe,2019,STP,89.959
Saudi Arabia,2019,SAU,12.803
Senegal,2019,SEN,64.558
Serbia,2019,SRB,13.755
Seychelles,2019,SYC,58.615
Sierra Leone,2019,SLE,102.178
Singapore,2019,SGP,2.303
Sint Maarten (Dutch part),2019,SXM,19.463
Slovak Republic,2019,SVK,26.699
Slovenia,2019,SVN,4.318
Solomon Islands,2019,SLB,52.616
Somalia,2019,SOM,124.669
