iso3,country,coef,se,pval,sig,coef_change,base_coef,base_se
CPV,Cabo Verde,-0.006884,0.006747,0.307787,,-0.000007,-0.006877,0.006753
NAM,Namibia,-0.006884,0.006746,0.307723,,-0.000007,-0.006877,0.006753
ARE,United Arab Emirates,-0.006883,0.006801,0.311680,,-0.000006,-0.006877,0.006753
MDG,Madagascar,-0.006882,0.006755,0.308475,,-0.000005,-0.006877,0.006753
SLV,El Salvador,-0.006881,0.006753,0.308420,,-0.000004,-0.006877,0.006753
TZA,Tanzania,-0.006881,0.006751,0.308252,,-0.000004,-0.006877,0.006753
ECU,Ecuador,-0.006878,0.006753,0.308616,,-0.000001,-0.006877,0.006753
GHA,Ghana,-0.006877,0.006754,0.308749,,-0.000000,-0.006877,0.006753
NOR,Norway,-0.006877,0.006754,0.308775,,-0.000000,-0.006877,0.006753
SOM,Somalia,-0.006877,0.006751,0.308555,,-0.000000,-0.006877,0.006753
SSD,South Sudan,-0.006877,0.006755,0.308831,,0.000000,-0.006877,0.006753
CMR,Cameroon,-0.006877,0.006753,0.308698,,0.000000,-0.006877,0.006753
SLB,Solomon Islands,-0.006876,0.006752,0.308666,,0.000001,-0.006877,0.006753
MOZ,Mozambique,-0.006875,0.006755,0.308971,,0.000002,-0.006877,0.006753
IND,India,-0.006873,0.006754,0.309043,,0.000004,-0.006877,0.006753
AUS,Australia,-0.006873,0.006755,0.309142,,0.000004,-0.006877,0.006753
GNB,Guinea-Bissau,-0.006871,0.006750,0.308893,,0.000006,-0.006877,0.006753
BOL,Bolivia,-0.006871,0.006744,0.308511,,0.000006,-0.006877,0.006753
PRY,Paraguay,-0.006869,0.006755,0.309354,,0.000008,-0.006877,0.006753
SVN,Slovenia,-0.006868,0.006759,0.309717,,0.000009,-0.006877,0.006753
CIV,Cote d'Ivoire,-0.006867,0.006751,0.309234,,0.000010,-0.006877,0.006753
GMB,"Gambia, The",-0.006865,0.006744,0.308862,,0.000012,-0.006877,0.006753
ARG,Argentina,-0.006865,0.006750,0.309270,,0.000012,-0.006877,0.006753
SWZ,Eswatini,-0.006865,0.006758,0.309925,,0.000012,-0.006877,0.006753
BGD,Bangladesh,-0.006864,0.006748,0.309232,,0.000013,-0.006877,0.006753
MNG,Mongolia,-0.006864,0.006747,0.309174,,0.000013,-0.006877,0.006753
POL,Poland,-0.006863,0.006753,0.309614,,0.000014,-0.006877,0.006753
GBR,United Kingdom,-0.006863,0.006753,0.309676,,0.000014,-0.006877,0.006753
TGO,Togo,-0.006863,0.006750,0.309491,,0.000014,-0.006877,0.006753
DOM,Dominican Republic,-0.006862,0.006752,0.309693,,0.000015,-0.006877,0.006753
