iso3,country,coef,se,pval,sig,coef_change,base_coef,base_se
MMR,Myanmar,0.023076,0.018864,0.221429,,0.001093,0.021982,0.018623
BDI,Burundi,0.023151,0.018826,0.218982,,0.001169,0.021982,0.018623
NZL,New Zealand,0.023239,0.018804,0.216718,,0.001256,0.021982,0.018623
CHL,Chile,0.023265,0.018695,0.213535,,0.001282,0.021982,0.018623
GTM,Guatemala,0.023591,0.018910,0.212399,,0.001608,0.021982,0.018623
KAZ,Kazakhstan,0.023691,0.018799,0.207790,,0.001708,0.021982,0.018623
LBY,Libya,0.023765,0.018684,0.203616,,0.001782,0.021982,0.018623
BRB,Barbados,0.023813,0.018817,0.205880,,0.001831,0.021982,0.018623
KGZ,Kyrgyz Republic,0.024523,0.018696,0.189846,,0.002540,0.021982,0.018623
KEN,Kenya,0.024872,0.019289,0.197452,,0.002890,0.021982,0.018623
THA,Thailand,0.024973,0.018820,0.184734,,0.002990,0.021982,0.018623
VNM,Vietnam,0.024998,0.019281,0.195000,,0.003016,0.021982,0.018623
ARE,United Arab Emirates,0.025175,0.018343,0.170140,,0.003192,0.021982,0.018623
BGD,Bangladesh,0.025791,0.019200,0.179386,,0.003809,0.021982,0.018623
COD,"Congo, Dem. Rep.",0.025884,0.019056,0.174582,,0.003901,0.021982,0.018623
MNG,Mongolia,0.027456,0.020591,0.182627,,0.005473,0.021982,0.018623
IDN,Indonesia,0.027777,0.019520,0.154953,,0.005795,0.021982,0.018623
