spec,coef,se,pval,r2,n_obs,delta_Rmax_=_2.2,delta_Rmax_=_1.0
Bivariate (gri_apostasy_norm),-0.021475,0.010344,0.038056,0.006032,1648,,
Full model (GDP-controlled),-0.019684,0.009336,0.035160,0.012839,1648,4.855609,0.075785
