spec,coef,se,pval,r2,n_obs,delta_Rmax_=_2.2,delta_Rmax_=_1.0
Bivariate (gri_religious_courts_norm),-0.007466,0.007088,0.292390,0.002520,1648,,
Full model (GDP-controlled),-0.006949,0.006877,0.312389,0.012839,1648,9.019818,0.140779
