event_time,coef,se,pval,sig,pretrend_p
-3,0.000265,0.014953,0.985856,,0.970272
-2,0.002408,0.014661,0.869563,,0.970272
-1,0.000000,0.000000,1.000000,,0.970272
0,-0.001942,0.013599,0.886477,,0.970272
1,0.000286,0.019151,0.988070,,0.970272
2,0.005335,0.018356,0.771363,,0.970272
3,0.003788,0.013929,0.785730,,0.970272
