spec,coef,se,pval,r2,n_obs,delta_Rmax_=_2.2,delta_Rmax_=_1.0
Bivariate (gri_religious_courts_norm),-0.009708,0.007281,0.182635,0.004098,1639,,
Full model (GDP-controlled),-0.009191,0.006913,0.183904,0.033473,1639,12.995761,0.540092
