event_time,coef,se,pval,sig,pretrend_p
-3,0.001770,0.003110,0.569396,,0.380507
-2,-0.002566,0.003552,0.470153,,0.380507
-1,0.000000,0.000000,1.000000,,0.380507
0,0.001101,0.003246,0.734461,,0.380507
1,0.002252,0.003837,0.557372,,0.380507
2,-0.000561,0.003936,0.886767,,0.380507
3,-0.001634,0.003800,0.667205,,0.380507
