tier,year,predictor,dv_label,coef,se,pval,n,r2,sig
P6_placebo_wdi_lifexpf_norm,all,gri_religious_courts_norm,Female life expectancy (female DV),0.001052,0.005882,0.858040,1648,0.022168,
P6_placebo_wdi_lfpf_norm,all,gri_religious_courts_norm,Female LFP rate (female DV),-0.007358,0.005272,0.163004,1637,0.060500,
P6_placebo_wbl_treatment_index,all,gri_religious_courts_norm,Women's treatment index (female DV),-0.007270,0.006853,0.288906,1648,0.015550,
P6_placebo_lifexpm_norm,all,gri_religious_courts_norm,Male life expectancy (placebo DV),0.002413,0.005473,0.659412,1648,0.017609,
P6_placebo_lfpm_norm,all,gri_religious_courts_norm,Male LFP rate (placebo DV),0.005993,0.004998,0.230753,1637,0.037146,
