iso3,country,coef,se,pval,sig,coef_change,base_coef,base_se
MNG,Mongolia,-0.006960,0.006877,0.311670,,-0.000010,-0.006949,0.006877
GHA,Ghana,-0.006959,0.006878,0.311836,,-0.000010,-0.006949,0.006877
SLB,Solomon Islands,-0.006959,0.006878,0.311831,,-0.000010,-0.006949,0.006877
MDG,Madagascar,-0.006957,0.006878,0.311956,,-0.000007,-0.006949,0.006877
SSD,South Sudan,-0.006955,0.006878,0.312085,,-0.000006,-0.006949,0.006877
CHN,China,-0.006955,0.006871,0.311614,,-0.000005,-0.006949,0.006877
BRB,Barbados,-0.006954,0.006880,0.312246,,-0.000005,-0.006949,0.006877
IRN,"Iran, Islamic Rep.",-0.006954,0.006877,0.312098,,-0.000005,-0.006949,0.006877
ITA,Italy,-0.006953,0.006875,0.311971,,-0.000004,-0.006949,0.006877
ISL,Iceland,-0.006952,0.006878,0.312303,,-0.000002,-0.006949,0.006877
COG,"Congo, Rep.",-0.006952,0.006881,0.312532,,-0.000002,-0.006949,0.006877
UKR,Ukraine,-0.006951,0.006886,0.312973,,-0.000001,-0.006949,0.006877
ARG,Argentina,-0.006951,0.006871,0.311924,,-0.000001,-0.006949,0.006877
BTN,Bhutan,-0.006950,0.006876,0.312294,,-0.000000,-0.006949,0.006877
CIV,Cote d'Ivoire,-0.006949,0.006875,0.312322,,0.000000,-0.006949,0.006877
IND,India,-0.006948,0.006877,0.312558,,0.000002,-0.006949,0.006877
QAT,Qatar,-0.006947,0.006875,0.312427,,0.000002,-0.006949,0.006877
CPV,Cabo Verde,-0.006947,0.006879,0.312718,,0.000002,-0.006949,0.006877
BGD,Bangladesh,-0.006947,0.006872,0.312212,,0.000003,-0.006949,0.006877
ISR,Israel,-0.006947,0.006874,0.312396,,0.000003,-0.006949,0.006877
NZL,New Zealand,-0.006947,0.006879,0.312729,,0.000003,-0.006949,0.006877
KOR,"Korea, Rep.",-0.006946,0.006873,0.312358,,0.000004,-0.006949,0.006877
DNK,Denmark,-0.006946,0.006876,0.312593,,0.000004,-0.006949,0.006877
CYP,Cyprus,-0.006944,0.006875,0.312653,,0.000005,-0.006949,0.006877
MOZ,Mozambique,-0.006943,0.006877,0.312861,,0.000006,-0.006949,0.006877
NER,Niger,-0.006942,0.006876,0.312827,,0.000007,-0.006949,0.006877
MWI,Malawi,-0.006942,0.006875,0.312781,,0.000008,-0.006949,0.006877
TGO,Togo,-0.006941,0.006872,0.312618,,0.000008,-0.006949,0.006877
SLE,Sierra Leone,-0.006941,0.006888,0.313761,,0.000009,-0.006949,0.006877
PAN,Panama,-0.006940,0.006874,0.312885,,0.000010,-0.006949,0.006877
JOR,Jordan,-0.006940,0.006885,0.313674,,0.000010,-0.006949,0.006877
ECU,Ecuador,-0.006940,0.006869,0.312488,,0.000010,-0.006949,0.006877
CRI,Costa Rica,-0.006939,0.006881,0.313417,,0.000010,-0.006949,0.006877
BIH,Bosnia and Herzegovina,-0.006939,0.006875,0.313059,,0.000011,-0.006949,0.006877
SWZ,Eswatini,-0.006936,0.006879,0.313453,,0.000013,-0.006949,0.006877
NAM,Namibia,-0.006936,0.006875,0.313184,,0.000013,-0.006949,0.006877
ETH,Ethiopia,-0.006936,0.006874,0.313085,,0.000013,-0.006949,0.006877
MLT,Malta,-0.006933,0.006875,0.313417,,0.000017,-0.006949,0.006877
AUS,Australia,-0.006932,0.006876,0.313549,,0.000017,-0.006949,0.006877
SOM,Somalia,-0.006932,0.006871,0.313231,,0.000018,-0.006949,0.006877
GNQ,Equatorial Guinea,-0.006930,0.006879,0.313923,,0.000020,-0.006949,0.006877
MYS,Malaysia,-0.006930,0.006868,0.313148,,0.000020,-0.006949,0.006877
GMB,"Gambia, The",-0.006930,0.006869,0.313243,,0.000020,-0.006949,0.006877
GNB,Guinea-Bissau,-0.006929,0.006880,0.314002,,0.000020,-0.006949,0.006877
EST,Estonia,-0.006929,0.006874,0.313607,,0.000021,-0.006949,0.006877
LAO,Lao PDR,-0.006928,0.006873,0.313612,,0.000021,-0.006949,0.006877
GBR,United Kingdom,-0.006927,0.006875,0.313872,,0.000023,-0.006949,0.006877
URY,Uruguay,-0.006926,0.006874,0.313883,,0.000024,-0.006949,0.006877
POL,Poland,-0.006926,0.006869,0.313544,,0.000024,-0.006949,0.006877
CMR,Cameroon,-0.006925,0.006879,0.314287,,0.000025,-0.006949,0.006877
ZAF,South Africa,-0.006922,0.006872,0.313914,,0.000027,-0.006949,0.006877
ALB,Albania,-0.006922,0.006881,0.314645,,0.000028,-0.006949,0.006877
PER,Peru,-0.006921,0.006876,0.314322,,0.000028,-0.006949,0.006877
DOM,Dominican Republic,-0.006920,0.006874,0.314212,,0.000029,-0.006949,0.006877
MEX,Mexico,-0.006919,0.006869,0.314003,,0.000031,-0.006949,0.006877
VNM,Vietnam,-0.006918,0.006991,0.322519,,0.000031,-0.006949,0.006877
MKD,North Macedonia,-0.006917,0.006876,0.314627,,0.000032,-0.006949,0.006877
IRL,Ireland,-0.006912,0.006872,0.314714,,0.000038,-0.006949,0.006877
SUR,Suriname,-0.006912,0.006873,0.314769,,0.000038,-0.006949,0.006877
MDV,Maldives,-0.006910,0.006855,0.313619,,0.000040,-0.006949,0.006877
KEN,Kenya,-0.006903,0.006874,0.315451,,0.000047,-0.006949,0.006877
