event_time,coef,se,pval,sig,pretrend_p
-3,0.008992,0.006120,0.141974,,0.146098
-2,0.000453,0.006679,0.945895,,0.146098
-1,0.000000,0.000000,1.000000,,0.146098
0,0.005674,0.006366,0.372907,,0.146098
1,0.001584,0.006186,0.797903,,0.146098
2,-0.000054,0.006117,0.992904,,0.146098
3,-0.002898,0.006702,0.665457,,0.146098
