event_time,coef,se,pval,sig,pretrend_p
-3,0.001820,0.004870,0.708600,,0.724550
-2,-0.002982,0.007488,0.690541,,0.724550
-1,0.000000,0.000000,1.000000,,0.724550
0,-0.000814,0.006716,0.903567,,0.724550
1,-0.001709,0.007479,0.819272,,0.724550
2,-0.001799,0.007635,0.813729,,0.724550
3,-0.002935,0.008149,0.718782,,0.724550
