Economy,Year,Economy Code,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
Afghanistan,2020,AFG,68.877
Albania,2020,ALB,14.004
Algeria,2020,DZA,9.901
American Samoa,2020,ASM,34.149
Andorra,2020,AND,3.119
Angola,2020,AGO,144.329
Antigua and Barbuda,2020,ATG,33.916
Argentina,2020,ARG,31.492
Armenia,2020,ARM,13.735
Aruba,2020,ABW,20.554
Australia,2020,AUS,7.726
Austria,2020,AUT,4.907
Azerbaijan,2020,AZE,41.585
"Bahamas, The",2020,BHS,25.129
Bahrain,2020,BHR,8.021
Bangladesh,2020,BGD,79.184
Barbados,2020,BRB,45.931
Belarus,2020,BLR,10.911
Belgium,2020,BEL,4.884
Belize,2020,BLZ,58.522
Benin,2020,BEN,81.062
Bermuda,2020,BMU,2.625
Bhutan,2020,BTN,8.740
Bolivia,2020,BOL,67.521
Bosnia and Herzegovina,2020,BIH,11.311
Botswana,2020,BWA,55.557
Brazil,2020,BRA,47.460
British Virgin Islands,2020,VGB,13.731
Brunei Darussalam,2020,BRN,8.847
Bulgaria,2020,BGR,37.508
Burkina Faso,2020,BFA,91.464
Burundi,2020,BDI,55.673
Cabo Verde,2020,CPV,39.913
Cambodia,2020,KHM,48.594
Cameroon,2020,CMR,112.084
Canada,2020,CAN,5.805
Cayman Islands,2020,CYM,11.850
Central African Republic,2020,CAF,163.964
Chad,2020,TCD,140.715
Channel Islands,2020,CHI,8.886
Chile,2020,CHL,14.415
China,2020,CHN,6.737
Colombia,2020,COL,62.885
Comoros,2020,COM,58.543
"Congo, Dem. Rep.",2020,COD,110.308
"Congo, Rep.",2020,COG,113.633
Costa Rica,2020,CRI,33.354
Cote d'Ivoire,2020,CIV,96.903
Croatia,2020,HRV,7.570
Cuba,2020,CUB,50.532
Curacao,2020,CUW,13.982
Cyprus,2020,CYP,7.274
Czechia,2020,CZE,9.036
Denmark,2020,DNK,1.663
Djibouti,2020,DJI,19.781
Dominica,2020,DMA,35.903
Dominican Republic,2020,DOM,58.852
Ecuador,2020,ECU,62.630
"Egypt, Arab Rep.",2020,EGY,43.848
El Salvador,2020,SLV,56.865
Equatorial Guinea,2020,GNQ,156.024
Eritrea,2020,ERI,67.189
Estonia,2020,EST,7.255
Eswatini,2020,SWZ,72.075
Ethiopia,2020,ETH,73.654
Faroe Islands,2020,FRO,5.380
Fiji,2020,FJI,21.695
Finland,2020,FIN,3.799
France,2020,FRA,5.616
French Polynesia,2020,PYF,27.243
Gabon,2020,GAB,96.307
"Gambia, The",2020,GMB,61.874
Georgia,2020,GEO,27.086
Germany,2020,DEU,6.544
Ghana,2020,GHA,62.026
Gibraltar,2020,GIB,8.388
Greece,2020,GRC,8.350
Greenland,2020,GRL,37.140
Grenada,2020,GRD,30.369
Guam,2020,GUM,34.706
Guatemala,2020,GTM,72.461
Guinea,2020,GIN,125.054
Guinea-Bissau,2020,GNB,85.874
Guyana,2020,GUY,74.211
Haiti,2020,HTI,52.578
Honduras,2020,HND,84.334
"Hong Kong SAR, China",2020,HKG,1.786
Hungary,2020,HUN,21.318
Iceland,2020,ISL,4.408
India,2020,IND,14.423
Indonesia,2020,IDN,27.176
"Iran, Islamic Rep.",2020,IRN,26.989
Iraq,2020,IRQ,61.747
Ireland,2020,IRL,5.027
Isle of Man,2020,IMN,8.970
Israel,2020,ISR,6.918
Italy,2020,ITA,3.295
Jamaica,2020,JAM,36.813
Japan,2020,JPN,2.503
Jordan,2020,JOR,20.981
Kazakhstan,2020,KAZ,21.962
Kenya,2020,KEN,59.380
Kiribati,2020,KIR,47.872
"Korea, Dem. People's Rep.",2020,PRK,0.552
"Korea, Rep.",2020,KOR,0.799
Kosovo,2020,XKX,8.163
Kuwait,2020,KWT,2.994
Kyrgyz Republic,2020,KGZ,32.510
Lao PDR,2020,LAO,83.548
Latvia,2020,LVA,10.493
Lebanon,2020,LBN,21.760
Lesotho,2020,LSO,74.143
Liberia,2020,LBR,130.522
Libya,2020,LBY,6.445
Liechtenstein,2020,LIE,1.722
Lithuania,2020,LTU,8.466
Luxembourg,2020,LUX,3.901
"Macao SAR, China",2020,MAC,1.096
Madagascar,2020,MDG,135.016
Malawi,2020,MWI,118.757
Malaysia,2020,MYS,7.634
Maldives,2020,MDV,6.362
Mali,2020,MLI,143.445
Malta,2020,MLT,11.026
Marshall Islands,2020,MHL,71.556
Mauritania,2020,MRT,92.930
Mauritius,2020,MUS,22.846
Mexico,2020,MEX,62.577
"Micronesia, Fed. Sts.",2020,FSM,44.646
Moldova,2020,MDA,26.382
Monaco,2020,MCO,10.512
Mongolia,2020,MNG,26.135
Montenegro,2020,MNE,10.407
Morocco,2020,MAR,26.807
Mozambique,2020,MOZ,159.032
Myanmar,2020,MMR,34.244
Namibia,2020,NAM,70.074
Nauru,2020,NRU,79.717
Nepal,2020,NPL,70.275
Netherlands,2020,NLD,2.355
New Caledonia,2020,NCL,13.159
New Zealand,2020,NZL,11.865
Nicaragua,2020,NIC,96.514
Niger,2020,NER,152.034
Nigeria,2020,NGA,89.081
North Macedonia,2020,MKD,17.157
Northern Mariana Islands,2020,MNP,27.026
Norway,2020,NOR,1.776
Oman,2020,OMN,7.439
Pakistan,2020,PAK,44.572
Palau,2020,PLW,30.193
Panama,2020,PAN,62.550
Papua New Guinea,2020,PNG,56.433
Paraguay,2020,PRY,72.899
Peru,2020,PER,45.423
Philippines,2020,PHL,34.477
Poland,2020,POL,8.107
Portugal,2020,PRT,6.776
Puerto Rico,2020,PRI,16.155
Qatar,2020,QAT,6.137
Romania,2020,ROU,34.155
Russian Federation,2020,RUS,13.801
Rwanda,2020,RWA,31.514
Samoa,2020,WSM,45.462
San Marino,2020,SMR,1.151
Sao Tome and Principe,2020,STP,88.990
Saudi Arabia,2020,SAU,11.266
Senegal,2020,SEN,63.118
Serbia,2020,SRB,13.468
Seychelles,2020,SYC,57.331
Sierra Leone,2020,SLE,100.177
Singapore,2020,SGP,2.276
Sint Maarten (Dutch part),2020,SXM,18.592
Slovak Republic,2020,SVK,25.975
Slovenia,2020,SVN,4.056
Solomon Islands,2020,SLB,52.236
Somalia,2020,SOM,122.735
South Africa,2020,ZAF,51.614
South Sudan,2020,SSD,100.555
Spain,2020,ESP,5.230
Sri Lanka,2020,LKA,15.465
St. Kitts and Nevis,2020,KNA,38.711
St. Lucia,2020,LCA,29.294
St. Martin (French part),2020,MAF,16.251
St. Vincent and the Grenadines,2020,VCT,50.299
Sudan,2020,SDN,71.151
Suriname,2020,SUR,52.064
Sweden,2020,SWE,2.750
Switzerland,2020,CHE,1.671
Syrian Arab Republic,2020,SYR,41.213
Tajikistan,2020,TJK,45.669
Tanzania,2020,TZA,117.034
Thailand,2020,THA,29.613
Timor-Leste,2020,TLS,29.407
Togo,2020,TGO,80.816
Tonga,2020,TON,24.889
Trinidad and Tobago,2020,TTO,37.684
Tunisia,2020,TUN,5.264
Turkiye,2020,TUR,15.334
Turkmenistan,2020,TKM,24.730
Turks and Caicos Islands,2020,TCA,17.872
Tuvalu,2020,TUV,28.779
Uganda,2020,UGA,112.940
Ukraine,2020,UKR,15.489
United Arab Emirates,2020,ARE,3.032
United Kingdom,2020,GBR,9.701
United States,2020,USA,14.719
Uruguay,2020,URY,29.590
Uzbekistan,2020,UZB,21.316
Vanuatu,2020,VUT,69.095
