Economy,Year,Economy Code,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
Afghanistan,2022,AFG,65.339
Albania,2022,ALB,12.827
Algeria,2022,DZA,8.977
American Samoa,2022,ASM,34.104
Andorra,2022,AND,3.527
Angola,2022,AGO,141.978
Antigua and Barbuda,2022,ATG,33.469
Argentina,2022,ARG,25.767
Armenia,2022,ARM,13.487
Aruba,2022,ABW,18.768
Australia,2022,AUS,6.747
Austria,2022,AUT,4.205
Azerbaijan,2022,AZE,35.293
"Bahamas, The",2022,BHS,24.679
Bahrain,2022,BHR,8.122
Bangladesh,2022,BGD,73.128
Barbados,2022,BRB,45.848
Belarus,2022,BLR,9.903
Belgium,2022,BEL,4.372
Belize,2022,BLZ,53.404
Benin,2022,BEN,78.860
Bermuda,2022,BMU,1.614
Bhutan,2022,BTN,9.388
Bolivia,2022,BOL,65.760
Bosnia and Herzegovina,2022,BIH,11.089
Botswana,2022,BWA,54.585
Brazil,2022,BRA,42.881
British Virgin Islands,2022,VGB,14.539
Brunei Darussalam,2022,BRN,8.589
Bulgaria,2022,BGR,39.409
Burkina Faso,2022,BFA,88.560
Burundi,2022,BDI,54.080
Cabo Verde,2022,CPV,38.673
Cambodia,2022,KHM,47.089
Cameroon,2022,CMR,108.328
Canada,2022,CAN,4.889
Cayman Islands,2022,CYM,11.515
Central African Republic,2022,CAF,163.019
Chad,2022,TCD,136.697
Channel Islands,2022,CHI,8.720
Chile,2022,CHL,7.687
China,2022,CHN,5.463
Colombia,2022,COL,60.175
Comoros,2022,COM,56.298
"Congo, Dem. Rep.",2022,COD,108.060
"Congo, Rep.",2022,COG,111.227
Costa Rica,2022,CRI,26.451
Cote d'Ivoire,2022,CIV,93.194
Croatia,2022,HRV,6.945
Cuba,2022,CUB,47.767
Curacao,2022,CUW,13.022
Cyprus,2022,CYP,7.041
Czechia,2022,CZE,6.913
Denmark,2022,DNK,1.196
Djibouti,2022,DJI,19.306
Dominica,2022,DMA,34.275
Dominican Republic,2022,DOM,53.582
Ecuador,2022,ECU,56.981
"Egypt, Arab Rep.",2022,EGY,41.852
El Salvador,2022,SLV,54.881
Equatorial Guinea,2022,GNQ,152.146
Eritrea,2022,ERI,65.724
Estonia,2022,EST,5.344
Eswatini,2022,SWZ,69.773
Ethiopia,2022,ETH,71.137
Faroe Islands,2022,FRO,4.767
Fiji,2022,FJI,21.271
Finland,2022,FIN,3.221
France,2022,FRA,3.979
French Polynesia,2022,PYF,24.725
Gabon,2022,GAB,93.319
"Gambia, The",2022,GMB,59.158
Georgia,2022,GEO,21.511
Germany,2022,DEU,5.577
Ghana,2022,GHA,58.808
Gibraltar,2022,GIB,8.477
Greece,2022,GRC,6.941
Greenland,2022,GRL,36.420
Grenada,2022,GRD,29.357
Guam,2022,GUM,33.902
Guatemala,2022,GTM,69.116
Guinea,2022,GIN,120.438
Guinea-Bissau,2022,GNB,83.159
Guyana,2022,GUY,71.313
Haiti,2022,HTI,50.589
Honduras,2022,HND,82.781
"Hong Kong SAR, China",2022,HKG,1.130
Hungary,2022,HUN,18.766
Iceland,2022,ISL,3.515
India,2022,IND,14.185
Indonesia,2022,IDN,26.581
"Iran, Islamic Rep.",2022,IRN,26.291
Iraq,2022,IRQ,58.979
Ireland,2022,IRL,4.151
Isle of Man,2022,IMN,8.827
Israel,2022,ISR,6.737
Italy,2022,ITA,2.988
Jamaica,2022,JAM,36.812
Japan,2022,JPN,1.821
Jordan,2022,JOR,18.875
Kazakhstan,2022,KAZ,18.412
Kenya,2022,KEN,57.272
Kiribati,2022,KIR,45.011
"Korea, Dem. People's Rep.",2022,PRK,0.525
"Korea, Rep.",2022,KOR,0.651
Kosovo,2022,XKX,8.000
Kuwait,2022,KWT,1.671
Kyrgyz Republic,2022,KGZ,28.854
Lao PDR,2022,LAO,82.431
Latvia,2022,LVA,8.610
Lebanon,2022,LBN,21.109
Lesotho,2022,LSO,71.785
Liberia,2022,LBR,127.332
Libya,2022,LBY,6.079
Liechtenstein,2022,LIE,1.631
Lithuania,2022,LTU,6.230
Luxembourg,2022,LUX,3.980
"Macao SAR, China",2022,MAC,0.473
Madagascar,2022,MDG,131.566
Malawi,2022,MWI,115.047
Malaysia,2022,MYS,5.975
Maldives,2022,MDV,5.648
Mali,2022,MLI,140.020
Malta,2022,MLT,10.495
Marshall Islands,2022,MHL,71.135
Mauritania,2022,MRT,90.246
Mauritius,2022,MUS,20.064
Mexico,2022,MEX,61.111
"Micronesia, Fed. Sts.",2022,FSM,43.998
Moldova,2022,MDA,22.384
Monaco,2022,MCO,9.724
Mongolia,2022,MNG,20.539
Montenegro,2022,MNE,10.013
Morocco,2022,MAR,25.563
Mozambique,2022,MOZ,155.276
Myanmar,2022,MMR,33.819
Namibia,2022,NAM,66.897
