Economy,Year,Economy Code,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
Afghanistan,2014,AFG,84.069
Albania,2014,ALB,21.767
Algeria,2014,DZA,10.196
American Samoa,2014,ASM,43.059
Andorra,2014,AND,4.947
Angola,2014,AGO,151.577
Antigua and Barbuda,2014,ATG,34.168
Argentina,2014,ARG,66.613
Armenia,2014,ARM,25.716
Aruba,2014,ABW,34.863
Australia,2014,AUS,13.072
Austria,2014,AUT,7.784
Azerbaijan,2014,AZE,63.586
"Bahamas, The",2014,BHS,33.861
Bahrain,2014,BHR,15.510
Bangladesh,2014,BGD,91.829
Barbados,2014,BRB,45.632
Belarus,2014,BLR,21.116
Belgium,2014,BEL,7.153
Belize,2014,BLZ,71.121
Benin,2014,BEN,96.383
Bermuda,2014,BMU,6.905
Bhutan,2014,BTN,19.307
Bolivia,2014,BOL,74.011
Bosnia and Herzegovina,2014,BIH,10.289
Botswana,2014,BWA,55.387
Brazil,2014,BRA,63.365
British Virgin Islands,2014,VGB,20.909
Brunei Darussalam,2014,BRN,12.550
Bulgaria,2014,BGR,41.593
Burkina Faso,2014,BFA,122.206
Burundi,2014,BDI,64.713
Cabo Verde,2014,CPV,60.347
Cambodia,2014,KHM,54.465
Cameroon,2014,CMR,120.341
Canada,2014,CAN,10.693
Cayman Islands,2014,CYM,18.532
Central African Republic,2014,CAF,165.588
Chad,2014,TCD,167.339
Channel Islands,2014,CHI,13.613
Chile,2014,CHL,44.060
China,2014,CHN,12.049
Colombia,2014,COL,73.820
Comoros,2014,COM,66.558
"Congo, Dem. Rep.",2014,COD,118.949
"Congo, Rep.",2014,COG,122.025
Costa Rica,2014,CRI,59.653
Cote d'Ivoire,2014,CIV,117.527
Croatia,2014,HRV,10.327
Cuba,2014,CUB,49.369
Curacao,2014,CUW,31.842
Cyprus,2014,CYP,5.326
Czechia,2014,CZE,12.115
Denmark,2014,DNK,3.819
Djibouti,2014,DJI,22.050
Dominica,2014,DMA,41.661
Dominican Republic,2014,DOM,85.739
Ecuador,2014,ECU,80.423
"Egypt, Arab Rep.",2014,EGY,57.090
El Salvador,2014,SLV,69.863
Equatorial Guinea,2014,GNQ,171.857
Eritrea,2014,ERI,72.448
