Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
Afghanistan,2013,AFG,63.814
Albania,2013,ALB,80.387
Algeria,2013,DZA,75.986
American Samoa,2013,ASM,75.418
Andorra,2013,AND,86.652
Angola,2013,AGO,62.009
Antigua and Barbuda,2013,ATG,80.325
Argentina,2013,ARG,78.623
Armenia,2013,ARM,77.900
Aruba,2013,ABW,77.961
Australia,2013,AUS,84.300
Austria,2013,AUT,83.800
Azerbaijan,2013,AZE,74.520
"Bahamas, The",2013,BHS,77.586
Bahrain,2013,BHR,80.950
Bangladesh,2013,BGD,71.538
Barbados,2013,BRB,77.952
Belarus,2013,BLR,77.900
Belgium,2013,BEL,83.200
Belize,2013,BLZ,74.340
Benin,2013,BEN,59.798
Bermuda,2013,BMU,84.439
Bhutan,2013,BTN,71.894
Bolivia,2013,BOL,69.105
Bosnia and Herzegovina,2013,BIH,80.350
Botswana,2013,BWA,63.176
Brazil,2013,BRA,78.062
British Virgin Islands,2013,VGB,79.314
Brunei Darussalam,2013,BRN,77.107
Bulgaria,2013,BGR,78.600
Burkina Faso,2013,BFA,59.416
Burundi,2013,BDI,60.689
Cabo Verde,2013,CPV,77.088
Cambodia,2013,KHM,71.014
Cameroon,2013,CMR,60.495
Canada,2013,CAN,83.850
Cayman Islands,2013,CYM,80.201
Central African Republic,2013,CAF,52.200
Chad,2013,TCD,52.069
Channel Islands,2013,CHI,83.700
Chile,2013,CHL,81.763
China,2013,CHN,79.223
Colombia,2013,COL,78.893
Comoros,2013,COM,65.609
"Congo, Dem. Rep.",2013,COD,59.499
"Congo, Rep.",2013,COG,64.404
Costa Rica,2013,CRI,82.800
Cote d'Ivoire,2013,CIV,58.856
Croatia,2013,HRV,80.900
Cuba,2013,CUB,80.130
Curacao,2013,CUW,79.787
Cyprus,2013,CYP,83.746
Czechia,2013,CZE,81.300
Denmark,2013,DNK,82.400
Djibouti,2013,DJI,64.454
Dominica,2013,DMA,74.009
Dominican Republic,2013,DOM,76.826
Ecuador,2013,ECU,78.422
"Egypt, Arab Rep.",2013,EGY,72.068
El Salvador,2013,SLV,75.662
Equatorial Guinea,2013,GNQ,61.353
Eritrea,2013,ERI,66.959
Estonia,2013,EST,81.700
Eswatini,2013,SWZ,54.106
Ethiopia,2013,ETH,64.661
Faroe Islands,2013,FRO,83.800
Fiji,2013,FJI,68.593
Finland,2013,FIN,84.100
France,2013,FRA,85.600
French Polynesia,2013,PYF,84.630
Gabon,2013,GAB,68.000
"Gambia, The",2013,GMB,63.482
Georgia,2013,GEO,77.614
Germany,2013,DEU,83.000
Ghana,2013,GHA,64.165
Gibraltar,2013,GIB,85.219
Greece,2013,GRC,84.000
Greenland,2013,GRL,73.210
Grenada,2013,GRD,77.763
Guam,2013,GUM,80.524
Guatemala,2013,GTM,73.577
Guinea,2013,GIN,58.770
Guinea-Bissau,2013,GNB,60.871
Guyana,2013,GUY,70.499
Haiti,2013,HTI,65.223
Honduras,2013,HND,73.242
