Economy,Year,Economy Code,Proportion of seats held by women in national parliaments (%)
Afghanistan,2013,AFG,27.711
Albania,2013,ALB,17.857
Algeria,2013,DZA,31.602
American Samoa,2013,ASM,
Andorra,2013,AND,50.000
Angola,2013,AGO,34.091
Antigua and Barbuda,2013,ATG,10.526
Argentina,2013,ARG,36.576
Armenia,2013,ARM,10.687
Aruba,2013,ABW,
Australia,2013,AUS,26.000
Austria,2013,AUT,33.333
Azerbaijan,2013,AZE,15.574
"Bahamas, The",2013,BHS,13.158
Bahrain,2013,BHR,10.000
Bangladesh,2013,BGD,19.714
Barbados,2013,BRB,16.667
Belarus,2013,BLR,26.606
Belgium,2013,BEL,38.000
Belize,2013,BLZ,3.125
Benin,2013,BEN,8.434
Bermuda,2013,BMU,
Bhutan,2013,BTN,6.383
Bolivia,2013,BOL,25.385
Bosnia and Herzegovina,2013,BIH,21.429
Botswana,2013,BWA,7.937
Brazil,2013,BRA,8.577
British Virgin Islands,2013,VGB,
Brunei Darussalam,2013,BRN,
Bulgaria,2013,BGR,24.583
Burkina Faso,2013,BFA,15.748
Burundi,2013,BDI,30.476
Cabo Verde,2013,CPV,20.833
Cambodia,2013,KHM,20.325
Cameroon,2013,CMR,31.111
Canada,2013,CAN,24.675
Cayman Islands,2013,CYM,
Central African Republic,2013,CAF,
Chad,2013,TCD,14.894
Channel Islands,2013,CHI,
Chile,2013,CHL,15.833
China,2013,CHN,23.401
Colombia,2013,COL,12.121
Comoros,2013,COM,3.030
"Congo, Dem. Rep.",2013,COD,8.943
"Congo, Rep.",2013,COG,7.353
Costa Rica,2013,CRI,38.596
Cote d'Ivoire,2013,CIV,10.442
Croatia,2013,HRV,23.841
Cuba,2013,CUB,48.856
Curacao,2013,CUW,
Cyprus,2013,CYP,10.714
Czechia,2013,CZE,19.500
Denmark,2013,DNK,39.106
Djibouti,2013,DJI,12.727
Dominica,2013,DMA,12.500
Dominican Republic,2013,DOM,20.765
Ecuador,2013,ECU,38.686
"Egypt, Arab Rep.",2013,EGY,
El Salvador,2013,SLV,26.190
Equatorial Guinea,2013,GNQ,12.121
Eritrea,2013,ERI,22.000
Estonia,2013,EST,20.792
Eswatini,2013,SWZ,6.154
Ethiopia,2013,ETH,27.788
Faroe Islands,2013,FRO,
Fiji,2013,FJI,
Finland,2013,FIN,42.500
France,2013,FRA,26.863
French Polynesia,2013,PYF,
Gabon,2013,GAB,15.789
"Gambia, The",2013,GMB,7.547
Georgia,2013,GEO,12.000
Germany,2013,DEU,36.450
Ghana,2013,GHA,10.909
Gibraltar,2013,GIB,
Greece,2013,GRC,21.000
Greenland,2013,GRL,
Grenada,2013,GRD,33.333
Guam,2013,GUM,
Guatemala,2013,GTM,13.291
Guinea,2013,GIN,
Guinea-Bissau,2013,GNB,14.000
Guyana,2013,GUY,31.343
Haiti,2013,HTI,4.211
Honduras,2013,HND,
"Hong Kong SAR, China",2013,HKG,
Hungary,2013,HUN,8.808
Iceland,2013,ISL,39.683
India,2013,IND,11.009
Indonesia,2013,IDN,18.571
"Iran, Islamic Rep.",2013,IRN,3.103
Iraq,2013,IRQ,25.231
Ireland,2013,IRL,15.663
Isle of Man,2013,IMN,
Israel,2013,ISR,22.500
Italy,2013,ITA,31.429
Jamaica,2013,JAM,12.698
Japan,2013,JPN,8.125
Jordan,2013,JOR,12.162
Kazakhstan,2013,KAZ,24.299
Kenya,2013,KEN,18.571
Kiribati,2013,KIR,8.696
