Economy,Year,Economy Code,"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
Afghanistan,2017,AFG,659.000
Albania,2017,ALB,8.000
Algeria,2017,DZA,77.000
American Samoa,2017,ASM,
Andorra,2017,AND,11.000
Angola,2017,AGO,220.000
Antigua and Barbuda,2017,ATG,31.000
Argentina,2017,ARG,38.000
Armenia,2017,ARM,24.000
Aruba,2017,ABW,
Australia,2017,AUS,6.000
Austria,2017,AUT,6.000
Azerbaijan,2017,AZE,22.000
"Bahamas, The",2017,BHS,79.000
Bahrain,2017,BHR,17.000
Bangladesh,2017,BGD,179.000
Barbados,2017,BRB,37.000
Belarus,2017,BLR,1.000
Belgium,2017,BEL,5.000
Belize,2017,BLZ,56.000
Benin,2017,BEN,592.000
Bermuda,2017,BMU,
Bhutan,2017,BTN,58.000
Bolivia,2017,BOL,160.000
Bosnia and Herzegovina,2017,BIH,7.000
Botswana,2017,BWA,46.000
Brazil,2017,BRA,61.000
British Virgin Islands,2017,VGB,
Brunei Darussalam,2017,BRN,39.000
Bulgaria,2017,BGR,7.000
Burkina Faso,2017,BFA,298.000
Burundi,2017,BDI,482.000
Cabo Verde,2017,CPV,43.000
Cambodia,2017,KHM,155.000
Cameroon,2017,CMR,372.000
Canada,2017,CAN,12.000
Cayman Islands,2017,CYM,
Central African Republic,2017,CAF,1093.000
Chad,2017,TCD,1085.000
Channel Islands,2017,CHI,
Chile,2017,CHL,12.000
China,2017,CHN,24.000
Colombia,2017,COL,68.000
Comoros,2017,COM,219.000
"Congo, Dem. Rep.",2017,COD,519.000
"Congo, Rep.",2017,COG,262.000
Costa Rica,2017,CRI,27.000
Cote d'Ivoire,2017,CIV,465.000
Croatia,2017,HRV,4.000
Cuba,2017,CUB,39.000
Curacao,2017,CUW,
Cyprus,2017,CYP,12.000
Czechia,2017,CZE,3.000
Denmark,2017,DNK,5.000
Djibouti,2017,DJI,201.000
Dominica,2017,DMA,44.000
Dominican Republic,2017,DOM,104.000
Ecuador,2017,ECU,62.000
"Egypt, Arab Rep.",2017,EGY,21.000
El Salvador,2017,SLV,44.000
Equatorial Guinea,2017,GNQ,212.000
Eritrea,2017,ERI,379.000
Estonia,2017,EST,5.000
Eswatini,2017,SWZ,151.000
Ethiopia,2017,ETH,327.000
Faroe Islands,2017,FRO,
Fiji,2017,FJI,34.000
Finland,2017,FIN,8.000
France,2017,FRA,8.000
French Polynesia,2017,PYF,
Gabon,2017,GAB,184.000
"Gambia, The",2017,GMB,469.000
Georgia,2017,GEO,27.000
Germany,2017,DEU,4.000
Ghana,2017,GHA,287.000
Gibraltar,2017,GIB,
Greece,2017,GRC,5.000
Greenland,2017,GRL,
Grenada,2017,GRD,45.000
Guam,2017,GUM,
Guatemala,2017,GTM,107.000
Guinea,2017,GIN,582.000
Guinea-Bissau,2017,GNB,597.000
Guyana,2017,GUY,110.000
Haiti,2017,HTI,351.000
Honduras,2017,HND,53.000
"Hong Kong SAR, China",2017,HKG,
Hungary,2017,HUN,14.000
Iceland,2017,ISL,3.000
India,2017,IND,113.000
Indonesia,2017,IDN,173.000
"Iran, Islamic Rep.",2017,IRN,20.000
Iraq,2017,IRQ,81.000
Ireland,2017,IRL,4.000
Isle of Man,2017,IMN,
Israel,2017,ISR,3.000
Italy,2017,ITA,8.000
Jamaica,2017,JAM,106.000
Japan,2017,JPN,5.000
Jordan,2017,JOR,38.000
Kazakhstan,2017,KAZ,12.000
Kenya,2017,KEN,186.000
Kiribati,2017,KIR,90.000
"Korea, Dem. People's Rep.",2017,PRK,70.000
"Korea, Rep.",2017,KOR,6.000
Kosovo,2017,XKX,
Kuwait,2017,KWT,8.000
Kyrgyz Republic,2017,KGZ,49.000
Lao PDR,2017,LAO,154.000
Latvia,2017,LVA,23.000
Lebanon,2017,LBN,15.000
Lesotho,2017,LSO,468.000
Liberia,2017,LBR,703.000
Libya,2017,LBY,69.000
Liechtenstein,2017,LIE,
Lithuania,2017,LTU,10.000
Luxembourg,2017,LUX,15.000
"Macao SAR, China",2017,MAC,
Madagascar,2017,MDG,469.000
Malawi,2017,MWI,284.000
Malaysia,2017,MYS,29.000
Maldives,2017,MDV,41.000
Mali,2017,MLI,453.000
Malta,2017,MLT,7.000
Marshall Islands,2017,MHL,179.000
Mauritania,2017,MRT,450.000
Mauritius,2017,MUS,66.000
Mexico,2017,MEX,44.000
"Micronesia, Fed. Sts.",2017,FSM,171.000
Moldova,2017,MDA,20.000
Monaco,2017,MCO,5.000
Mongolia,2017,MNG,45.000
Montenegro,2017,MNE,7.000
Morocco,2017,MAR,88.000
Mozambique,2017,MOZ,187.000
Myanmar,2017,MMR,209.000
Namibia,2017,NAM,213.000
Nauru,2017,NRU,259.000
Nepal,2017,NPL,197.000
Netherlands,2017,NLD,5.000
New Caledonia,2017,NCL,
New Zealand,2017,NZL,8.000
Nicaragua,2017,NIC,72.000
Niger,2017,NER,433.000
Nigeria,2017,NGA,1142.000
North Macedonia,2017,MKD,4.000
Northern Mariana Islands,2017,MNP,
Norway,2017,NOR,2.000
Oman,2017,OMN,14.000
Pakistan,2017,PAK,184.000
Palau,2017,PLW,80.000
Panama,2017,PAN,47.000
Papua New Guinea,2017,PNG,207.000
Paraguay,2017,PRY,58.000
Peru,2017,PER,67.000
Philippines,2017,PHL,86.000
Poland,2017,POL,2.000
Portugal,2017,PRT,13.000
Puerto Rico,2017,PRI,17.000
Qatar,2017,QAT,5.000
Romania,2017,ROU,17.000
Russian Federation,2017,RUS,12.000
Rwanda,2017,RWA,275.000
Samoa,2017,WSM,111.000
San Marino,2017,SMR,7.000
Sao Tome and Principe,2017,STP,110.000
Saudi Arabia,2017,SAU,8.000
Senegal,2017,SEN,325.000
Serbia,2017,SRB,13.000
Seychelles,2017,SYC,47.000
Sierra Leone,2017,SLE,578.000
Singapore,2017,SGP,8.000
