Economy,Year,Economy Code,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
Afghanistan,2017,AFG,75.300
Albania,2017,ALB,16.778
Algeria,2017,DZA,9.978
American Samoa,2017,ASM,37.274
Andorra,2017,AND,4.326
Angola,2017,AGO,147.407
Antigua and Barbuda,2017,ATG,31.069
Argentina,2017,ARG,55.022
Armenia,2017,ARM,21.153
Aruba,2017,ABW,27.289
Australia,2017,AUS,10.235
Austria,2017,AUT,6.897
Azerbaijan,2017,AZE,53.042
"Bahamas, The",2017,BHS,26.785
Bahrain,2017,BHR,12.987
Bangladesh,2017,BGD,82.215
Barbados,2017,BRB,45.649
Belarus,2017,BLR,13.395
Belgium,2017,BEL,5.905
Belize,2017,BLZ,70.413
Benin,2017,BEN,91.759
Bermuda,2017,BMU,4.112
Bhutan,2017,BTN,11.332
Bolivia,2017,BOL,70.498
Bosnia and Herzegovina,2017,BIH,11.613
Botswana,2017,BWA,49.926
Brazil,2017,BRA,56.558
British Virgin Islands,2017,VGB,10.928
Brunei Darussalam,2017,BRN,10.491
Bulgaria,2017,BGR,38.224
Burkina Faso,2017,BFA,109.182
Burundi,2017,BDI,58.504
Cabo Verde,2017,CPV,56.420
Cambodia,2017,KHM,51.735
Cameroon,2017,CMR,118.815
Canada,2017,CAN,7.931
Cayman Islands,2017,CYM,11.063
Central African Republic,2017,CAF,165.118
Chad,2017,TCD,149.618
Channel Islands,2017,CHI,10.563
Chile,2017,CHL,27.261
China,2017,CHN,10.236
Colombia,2017,COL,65.985
Comoros,2017,COM,60.415
"Congo, Dem. Rep.",2017,COD,112.484
"Congo, Rep.",2017,COG,117.227
Costa Rica,2017,CRI,51.125
Cote d'Ivoire,2017,CIV,106.786
Croatia,2017,HRV,9.509
Cuba,2017,CUB,49.670
Curacao,2017,CUW,20.610
Cyprus,2017,CYP,6.619
Czechia,2017,CZE,11.653
Denmark,2017,DNK,2.874
Djibouti,2017,DJI,20.637
Dominica,2017,DMA,36.456
Dominican Republic,2017,DOM,75.887
Ecuador,2017,ECU,73.879
"Egypt, Arab Rep.",2017,EGY,53.207
El Salvador,2017,SLV,61.093
Equatorial Guinea,2017,GNQ,164.344
Eritrea,2017,ERI,70.977
Estonia,2017,EST,9.839
Eswatini,2017,SWZ,74.547
Ethiopia,2017,ETH,75.196
Faroe Islands,2017,FRO,7.865
Fiji,2017,FJI,21.218
Finland,2017,FIN,4.957
France,2017,FRA,7.122
French Polynesia,2017,PYF,31.707
Gabon,2017,GAB,98.880
"Gambia, The",2017,GMB,67.899
Georgia,2017,GEO,37.220
Germany,2017,DEU,8.317
Ghana,2017,GHA,67.881
Gibraltar,2017,GIB,8.832
Greece,2017,GRC,8.716
Greenland,2017,GRL,39.529
Grenada,2017,GRD,28.958
Guam,2017,GUM,38.905
Guatemala,2017,GTM,83.905
Guinea,2017,GIN,126.320
Guinea-Bissau,2017,GNB,90.151
Guyana,2017,GUY,77.516
Haiti,2017,HTI,55.523
Honduras,2017,HND,85.934
"Hong Kong SAR, China",2017,HKG,2.792
Hungary,2017,HUN,23.288
Iceland,2017,ISL,5.931
India,2017,IND,15.166
Indonesia,2017,IDN,32.792
"Iran, Islamic Rep.",2017,IRN,35.132
Iraq,2017,IRQ,66.576
Ireland,2017,IRL,6.690
Isle of Man,2017,IMN,10.125
Israel,2017,ISR,8.863
