Economy,Year,Economy Code,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
Afghanistan,2021,AFG,66.599
Albania,2021,ALB,13.002
Algeria,2021,DZA,9.343
American Samoa,2021,ASM,34.214
Andorra,2021,AND,3.500
Angola,2021,AGO,143.383
Antigua and Barbuda,2021,ATG,33.751
Argentina,2021,ARG,28.540
Armenia,2021,ARM,13.660
Aruba,2021,ABW,18.615
Australia,2021,AUS,7.089
Austria,2021,AUT,4.426
Azerbaijan,2021,AZE,34.844
"Bahamas, The",2021,BHS,24.870
Bahrain,2021,BHR,8.364
Bangladesh,2021,BGD,75.962
Barbados,2021,BRB,45.948
Belarus,2021,BLR,10.659
Belgium,2021,BEL,4.609
Belize,2021,BLZ,51.324
Benin,2021,BEN,79.804
Bermuda,2021,BMU,1.666
Bhutan,2021,BTN,9.645
Bolivia,2021,BOL,66.639
Bosnia and Herzegovina,2021,BIH,11.192
Botswana,2021,BWA,55.094
Brazil,2021,BRA,45.670
British Virgin Islands,2021,VGB,14.387
Brunei Darussalam,2021,BRN,8.581
Bulgaria,2021,BGR,36.408
Burkina Faso,2021,BFA,90.079
Burundi,2021,BDI,54.826
Cabo Verde,2021,CPV,38.922
Cambodia,2021,KHM,47.847
Cameroon,2021,CMR,109.907
Canada,2021,CAN,5.262
Cayman Islands,2021,CYM,11.611
Central African Republic,2021,CAF,163.575
Chad,2021,TCD,137.946
Channel Islands,2021,CHI,8.717
Chile,2021,CHL,7.892
China,2021,CHN,5.996
Colombia,2021,COL,62.023
Comoros,2021,COM,57.386
"Congo, Dem. Rep.",2021,COD,109.234
"Congo, Rep.",2021,COG,112.715
Costa Rica,2021,CRI,27.871
Cote d'Ivoire,2021,CIV,94.609
Croatia,2021,HRV,7.542
Cuba,2021,CUB,48.346
Curacao,2021,CUW,13.122
Cyprus,2021,CYP,7.077
Czechia,2021,CZE,8.096
Denmark,2021,DNK,1.420
Djibouti,2021,DJI,19.580
Dominica,2021,DMA,34.740
Dominican Republic,2021,DOM,56.058
Ecuador,2021,ECU,58.609
"Egypt, Arab Rep.",2021,EGY,41.901
El Salvador,2021,SLV,56.143
Equatorial Guinea,2021,GNQ,154.136
Eritrea,2021,ERI,66.429
Estonia,2021,EST,6.368
Eswatini,2021,SWZ,70.741
Ethiopia,2021,ETH,72.373
Faroe Islands,2021,FRO,4.793
Fiji,2021,FJI,21.553
Finland,2021,FIN,3.748
France,2021,FRA,4.940
French Polynesia,2021,PYF,25.173
Gabon,2021,GAB,94.925
"Gambia, The",2021,GMB,60.503
Georgia,2021,GEO,25.154
Germany,2021,DEU,6.241
Ghana,2021,GHA,59.760
Gibraltar,2021,GIB,8.283
Greece,2021,GRC,7.886
Greenland,2021,GRL,36.873
Grenada,2021,GRD,29.652
Guam,2021,GUM,34.292
Guatemala,2021,GTM,70.295
Guinea,2021,GIN,122.721
Guinea-Bissau,2021,GNB,84.568
Guyana,2021,GUY,72.781
Haiti,2021,HTI,51.509
Honduras,2021,HND,83.508
"Hong Kong SAR, China",2021,HKG,1.324
Hungary,2021,HUN,19.787
Iceland,2021,ISL,4.150
India,2021,IND,14.289
Indonesia,2021,IDN,26.824
"Iran, Islamic Rep.",2021,IRN,26.445
Iraq,2021,IRQ,60.371
Ireland,2021,IRL,4.798
Isle of Man,2021,IMN,8.944
Israel,2021,ISR,6.759
Italy,2021,ITA,3.016
Jamaica,2021,JAM,36.807
Japan,2021,JPN,2.088
Jordan,2021,JOR,19.418
Kazakhstan,2021,KAZ,21.952
Kenya,2021,KEN,59.513
Kiribati,2021,KIR,46.388
"Korea, Dem. People's Rep.",2021,PRK,0.539
"Korea, Rep.",2021,KOR,0.539
Kosovo,2021,XKX,8.162
Kuwait,2021,KWT,2.132
Kyrgyz Republic,2021,KGZ,29.623
Lao PDR,2021,LAO,82.821
Latvia,2021,LVA,9.835
Lebanon,2021,LBN,21.366
Lesotho,2021,LSO,73.048
Liberia,2021,LBR,129.044
Libya,2021,LBY,6.274
Liechtenstein,2021,LIE,1.631
Lithuania,2021,LTU,6.867
Luxembourg,2021,LUX,3.604
"Macao SAR, China",2021,MAC,0.814
Madagascar,2021,MDG,133.195
Malawi,2021,MWI,116.517
Malaysia,2021,MYS,6.364
Maldives,2021,MDV,6.036
Mali,2021,MLI,141.933
Malta,2021,MLT,10.546
Marshall Islands,2021,MHL,71.146
Mauritania,2021,MRT,91.693
Mauritius,2021,MUS,21.346
Mexico,2021,MEX,62.033
"Micronesia, Fed. Sts.",2021,FSM,44.033
Moldova,2021,MDA,24.970
Monaco,2021,MCO,9.868
Mongolia,2021,MNG,22.428
Montenegro,2021,MNE,10.326
Morocco,2021,MAR,26.205
Mozambique,2021,MOZ,156.822
Myanmar,2021,MMR,34.141
Namibia,2021,NAM,68.370
Nauru,2021,NRU,80.579
Nepal,2021,NPL,68.777
Netherlands,2021,NLD,2.227
New Caledonia,2021,NCL,12.373
New Zealand,2021,NZL,10.911
Nicaragua,2021,NIC,95.052
Niger,2021,NER,148.248
Nigeria,2021,NGA,88.457
North Macedonia,2021,MKD,15.952
Northern Mariana Islands,2021,MNP,26.734
Norway,2021,NOR,1.715
Oman,2021,OMN,6.743
Pakistan,2021,PAK,43.372
Palau,2021,PLW,30.020
Panama,2021,PAN,58.035
Papua New Guinea,2021,PNG,55.664
Paraguay,2021,PRY,71.902
Peru,2021,PER,44.420
Philippines,2021,PHL,32.450
Poland,2021,POL,6.772
Portugal,2021,PRT,5.811
Puerto Rico,2021,PRI,14.896
Qatar,2021,QAT,4.894
Romania,2021,ROU,33.234
Russian Federation,2021,RUS,13.565
Rwanda,2021,RWA,31.158
Samoa,2021,WSM,44.020
San Marino,2021,SMR,1.177
Sao Tome and Principe,2021,STP,87.903
Saudi Arabia,2021,SAU,10.467
Senegal,2021,SEN,62.176
Serbia,2021,SRB,13.739
Seychelles,2021,SYC,56.384
Sierra Leone,2021,SLE,98.060
Singapore,2021,SGP,2.160
Sint Maarten (Dutch part),2021,SXM,17.177
Slovak Republic,2021,SVK,25.872
Slovenia,2021,SVN,3.830
Solomon Islands,2021,SLB,51.836
Somalia,2021,SOM,120.995
South Africa,2021,ZAF,52.546
South Sudan,2021,SSD,99.485
Spain,2021,ESP,4.702
Sri Lanka,2021,LKA,15.401
St. Kitts and Nevis,2021,KNA,36.993
St. Lucia,2021,LCA,28.840
St. Martin (French part),2021,MAF,15.065
St. Vincent and the Grenadines,2021,VCT,44.540
Sudan,2021,SDN,69.140
Suriname,2021,SUR,49.560
Sweden,2021,SWE,2.380
Switzerland,2021,CHE,1.471
Syrian Arab Republic,2021,SYR,40.730
Tajikistan,2021,TJK,43.993
Tanzania,2021,TZA,115.452
Thailand,2021,THA,27.475
Timor-Leste,2021,TLS,28.284
Togo,2021,TGO,79.696
Tonga,2021,TON,24.728
Trinidad and Tobago,2021,TTO,37.220
Tunisia,2021,TUN,4.321
Turkiye,2021,TUR,13.630
Turkmenistan,2021,TKM,24.023
Turks and Caicos Islands,2021,TCA,17.257
Tuvalu,2021,TUV,28.474
Uganda,2021,UGA,110.964
Ukraine,2021,UKR,14.417
United Arab Emirates,2021,ARE,2.563
United Kingdom,2021,GBR,8.578
United States,2021,USA,13.724
Uruguay,2021,URY,27.356
Uzbekistan,2021,UZB,31.127
Vanuatu,2021,VUT,68.166
"Venezuela, RB",2021,VEN,73.384
Vietnam,2021,VNM,34.666
Virgin Islands (U.S.),2021,VIR,31.787
West Bank and Gaza,2021,PSE,37.919
"Yemen, Rep.",2021,YEM,74.540
Zambia,2021,ZMB,118.744
Zimbabwe,2021,ZWE,99.199
