Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
Afghanistan,2017,AFG,65.606
Albania,2017,ALB,80.795
Algeria,2017,DZA,76.750
American Samoa,2017,ASM,75.588
Andorra,2017,AND,86.322
Angola,2017,AGO,64.527
Antigua and Barbuda,2017,ATG,79.880
Argentina,2017,ARG,79.204
Armenia,2017,ARM,78.700
Aruba,2017,ABW,78.250
Australia,2017,AUS,84.600
Austria,2017,AUT,84.000
Azerbaijan,2017,AZE,75.622
"Bahamas, The",2017,BHS,77.725
Bahrain,2017,BHR,81.478
Bangladesh,2017,BGD,73.510
Barbados,2017,BRB,78.296
Belarus,2017,BLR,79.200
Belgium,2017,BEL,83.900
Belize,2017,BLZ,75.217
Benin,2017,BEN,60.632
Bermuda,2017,BMU,84.647
Bhutan,2017,BTN,73.246
Bolivia,2017,BOL,69.951
Bosnia and Herzegovina,2017,BIH,80.086
Botswana,2017,BWA,67.612
Brazil,2017,BRA,78.781
British Virgin Islands,2017,VGB,78.199
Brunei Darussalam,2017,BRN,77.181
Bulgaria,2017,BGR,78.400
Burkina Faso,2017,BFA,61.195
Burundi,2017,BDI,63.124
Cabo Verde,2017,CPV,78.115
Cambodia,2017,KHM,72.198
Cameroon,2017,CMR,62.856
Canada,2017,CAN,84.000
Cayman Islands,2017,CYM,81.075
Central African Republic,2017,CAF,50.067
Chad,2017,TCD,53.266
Channel Islands,2017,CHI,83.300
Chile,2017,CHL,82.783
China,2017,CHN,80.270
Colombia,2017,COL,79.334
Comoros,2017,COM,67.053
"Congo, Dem. Rep.",2017,COD,61.307
"Congo, Rep.",2017,COG,65.709
Costa Rica,2017,CRI,82.662
Cote d'Ivoire,2017,CIV,61.230
Croatia,2017,HRV,80.800
Cuba,2017,CUB,79.791
Curacao,2017,CUW,80.442
Cyprus,2017,CYP,83.871
Czechia,2017,CZE,82.000
Denmark,2017,DNK,83.100
Djibouti,2017,DJI,66.172
Dominica,2017,DMA,70.937
Dominican Republic,2017,DOM,76.776
Ecuador,2017,ECU,78.589
"Egypt, Arab Rep.",2017,EGY,72.982
El Salvador,2017,SLV,75.811
Equatorial Guinea,2017,GNQ,63.263
Eritrea,2017,ERI,68.656
Estonia,2017,EST,82.600
Eswatini,2017,SWZ,60.197
Ethiopia,2017,ETH,67.746
Faroe Islands,2017,FRO,84.500
Fiji,2017,FJI,69.313
Finland,2017,FIN,84.500
France,2017,FRA,85.700
French Polynesia,2017,PYF,85.386
Gabon,2017,GAB,69.181
"Gambia, The",2017,GMB,65.134
Georgia,2017,GEO,78.194
Germany,2017,DEU,83.400
Ghana,2017,GHA,65.788
Gibraltar,2017,GIB,85.516
Greece,2017,GRC,83.900
Greenland,2017,GRL,74.360
Grenada,2017,GRD,78.117
Guam,2017,GUM,80.714
Guatemala,2017,GTM,74.108
Guinea,2017,GIN,59.919
Guinea-Bissau,2017,GNB,63.246
Guyana,2017,GUY,72.369
Haiti,2017,HTI,66.688
Honduras,2017,HND,74.385
"Hong Kong SAR, China",2017,HKG,87.610
Hungary,2017,HUN,79.300
Iceland,2017,ISL,84.300
India,2017,IND,71.632
Indonesia,2017,IDN,71.945
"Iran, Islamic Rep.",2017,IRN,78.349
Iraq,2017,IRQ,72.475
Ireland,2017,IRL,84.000
Isle of Man,2017,IMN,82.326
Israel,2017,ISR,84.600
Italy,2017,ITA,85.200
Jamaica,2017,JAM,74.140
Japan,2017,JPN,87.260
Jordan,2017,JOR,78.378
Kazakhstan,2017,KAZ,77.215
Kenya,2017,KEN,64.933
Kiribati,2017,KIR,67.407
"Korea, Dem. People's Rep.",2017,PRK,75.461
"Korea, Rep.",2017,KOR,85.700
Kosovo,2017,XKX,79.056
Kuwait,2017,KWT,81.236
Kyrgyz Republic,2017,KGZ,75.400
Lao PDR,2017,LAO,69.561
Latvia,2017,LVA,79.700
Lebanon,2017,LBN,80.130
Lesotho,2017,LSO,56.269
Liberia,2017,LBR,61.937
Libya,2017,LBY,75.875
Liechtenstein,2017,LIE,86.000
Lithuania,2017,LTU,80.500
Luxembourg,2017,LUX,84.400
"Macao SAR, China",2017,MAC,86.600
Madagascar,2017,MDG,65.050
Malawi,2017,MWI,67.064
Malaysia,2017,MYS,78.262
Maldives,2017,MDV,80.788
Mali,2017,MLI,59.671
Malta,2017,MLT,84.600
Marshall Islands,2017,MHL,68.010
Mauritania,2017,MRT,68.954
Mauritius,2017,MUS,77.890
Mexico,2017,MEX,76.972
"Micronesia, Fed. Sts.",2017,FSM,68.840
Moldova,2017,MDA,74.892
Monaco,2017,MCO,88.357
Mongolia,2017,MNG,75.440
Montenegro,2017,MNE,79.400
Morocco,2017,MAR,75.553
Mozambique,2017,MOZ,62.330
Myanmar,2017,MMR,68.918
Namibia,2017,NAM,65.099
Nauru,2017,NRU,64.128
Nepal,2017,NPL,70.092
Netherlands,2017,NLD,83.400
New Caledonia,2017,NCL,80.287
New Zealand,2017,NZL,83.600
Nicaragua,2017,NIC,75.980
Niger,2017,NER,60.409
Nigeria,2017,NGA,52.639
North Macedonia,2017,MKD,77.900
Northern Mariana Islands,2017,MNP,79.506
Norway,2017,NOR,84.300
Oman,2017,OMN,81.669
Pakistan,2017,PAK,68.674
Palau,2017,PLW,72.370
Panama,2017,PAN,80.866
Papua New Guinea,2017,PNG,68.011
Paraguay,2017,PRY,76.648
Peru,2017,PER,78.264
Philippines,2017,PHL,73.421
Poland,2017,POL,81.800
Portugal,2017,PRT,84.600
Puerto Rico,2017,PRI,82.225
Qatar,2017,QAT,83.510
Romania,2017,ROU,79.000
Russian Federation,2017,RUS,77.640
Rwanda,2017,RWA,68.245
Samoa,2017,WSM,73.014
San Marino,2017,SMR,86.525
Sao Tome and Principe,2017,STP,70.628
