Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
Saudi Arabia,2017,SAU,80.429
Senegal,2017,SEN,68.895
Serbia,2017,SRB,78.100
Seychelles,2017,SYC,78.500
Sierra Leone,2017,SLE,58.804
Singapore,2017,SGP,85.400
Sint Maarten (Dutch part),2017,SXM,78.309
Slovak Republic,2017,SVK,80.700
Slovenia,2017,SVN,84.000
Solomon Islands,2017,SLB,71.118
Somalia,2017,SOM,54.275
South Africa,2017,ZAF,68.580
South Sudan,2017,SSD,38.675
Spain,2017,ESP,86.100
Sri Lanka,2017,LKA,79.592
St. Kitts and Nevis,2017,KNA,75.264
St. Lucia,2017,LCA,76.156
St. Martin (French part),2017,MAF,82.251
St. Vincent and the Grenadines,2017,VCT,74.177
Sudan,2017,SDN,68.024
Suriname,2017,SUR,74.530
Sweden,2017,SWE,84.100
Switzerland,2017,CHE,85.600
Syrian Arab Republic,2017,SYR,71.877
Tajikistan,2017,TJK,72.717
Tanzania,2017,TZA,67.570
Thailand,2017,THA,81.383
Timor-Leste,2017,TLS,67.609
Togo,2017,TGO,60.394
Tonga,2017,TON,75.784
Trinidad and Tobago,2017,TTO,76.038
Tunisia,2017,TUN,77.798
Turkiye,2017,TUR,80.252
Turkmenistan,2017,TKM,72.172
Turks and Caicos Islands,2017,TCA,79.771
Tuvalu,2017,TUV,69.273
Uganda,2017,UGA,67.823
Ukraine,2017,UKR,78.550
United Arab Emirates,2017,ARE,83.732
United Kingdom,2017,GBR,83.100
United States,2017,USA,81.100
Uruguay,2017,URY,81.204
Uzbekistan,2017,UZB,74.794
Vanuatu,2017,VUT,73.017
"Venezuela, RB",2017,VEN,76.306
Vietnam,2017,VNM,78.790
Virgin Islands (U.S.),2017,VIR,82.800
West Bank and Gaza,2017,PSE,77.343
"Yemen, Rep.",2017,YEM,70.122
Zambia,2017,ZMB,63.863
Zimbabwe,2017,ZWE,62.016
