Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
St. Martin (French part),2020,MAF,83.851
St. Vincent and the Grenadines,2020,VCT,74.459
Sudan,2020,SDN,68.153
Suriname,2020,SUR,76.220
Sweden,2020,SWE,84.200
Switzerland,2020,CHE,85.100
Syrian Arab Republic,2020,SYR,74.808
Tajikistan,2020,TJK,71.088
Tanzania,2020,TZA,69.961
Thailand,2020,THA,81.904
Timor-Leste,2020,TLS,68.871
Togo,2020,TGO,61.445
Tonga,2020,TON,76.077
Trinidad and Tobago,2020,TTO,76.044
Tunisia,2020,TUN,77.745
Turkiye,2020,TUR,79.887
Turkmenistan,2020,TKM,71.928
Turks and Caicos Islands,2020,TCA,79.999
Tuvalu,2020,TUV,69.960
Uganda,2020,UGA,69.430
Ukraine,2020,UKR,78.024
United Arab Emirates,2020,ARE,83.900
United Kingdom,2020,GBR,82.400
United States,2020,USA,79.900
Uruguay,2020,URY,82.015
Uzbekistan,2020,UZB,74.462
Vanuatu,2020,VUT,73.245
"Venezuela, RB",2020,VEN,76.501
Vietnam,2020,VNM,80.314
Virgin Islands (U.S.),2020,VIR,83.200
West Bank and Gaza,2020,PSE,77.603
"Yemen, Rep.",2020,YEM,69.805
Zambia,2020,ZMB,65.953
Zimbabwe,2020,ZWE,63.747
