Economy,Year,Economy Code,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
Afghanistan,2016,AFG,78.130
Albania,2016,ALB,18.518
Algeria,2016,DZA,10.500
American Samoa,2016,ASM,39.450
Andorra,2016,AND,4.576
Angola,2016,AGO,148.905
Antigua and Barbuda,2016,ATG,31.440
Argentina,2016,ARG,58.790
Armenia,2016,ARM,24.380
Aruba,2016,ABW,30.102
Australia,2016,AUS,10.939
Austria,2016,AUT,7.505
Azerbaijan,2016,AZE,58.882
"Bahamas, The",2016,BHS,28.989
Bahrain,2016,BHR,14.105
Bangladesh,2016,BGD,87.837
Barbados,2016,BRB,45.528
Belarus,2016,BLR,16.076
Belgium,2016,BEL,6.228
Belize,2016,BLZ,70.672
Benin,2016,BEN,95.223
Bermuda,2016,BMU,5.433
Bhutan,2016,BTN,14.108
Bolivia,2016,BOL,71.546
Bosnia and Herzegovina,2016,BIH,11.300
Botswana,2016,BWA,54.312
Brazil,2016,BRA,58.372
British Virgin Islands,2016,VGB,14.535
Brunei Darussalam,2016,BRN,11.062
Bulgaria,2016,BGR,38.076
Burkina Faso,2016,BFA,114.519
Burundi,2016,BDI,60.404
Cabo Verde,2016,CPV,58.610
Cambodia,2016,KHM,52.522
Cameroon,2016,CMR,119.352
Canada,2016,CAN,8.695
Cayman Islands,2016,CYM,12.706
Central African Republic,2016,CAF,164.342
Chad,2016,TCD,155.838
Channel Islands,2016,CHI,11.456
Chile,2016,CHL,33.658
China,2016,CHN,10.747
Colombia,2016,COL,66.840
Comoros,2016,COM,62.209
"Congo, Dem. Rep.",2016,COD,113.478
"Congo, Rep.",2016,COG,118.945
Costa Rica,2016,CRI,53.376
Cote d'Ivoire,2016,CIV,113.001
Croatia,2016,HRV,9.946
Cuba,2016,CUB,48.430
Curacao,2016,CUW,24.703
Cyprus,2016,CYP,6.274
Czechia,2016,CZE,11.789
Denmark,2016,DNK,3.438
Djibouti,2016,DJI,20.971
Dominica,2016,DMA,37.496
Dominican Republic,2016,DOM,78.640
Ecuador,2016,ECU,74.617
"Egypt, Arab Rep.",2016,EGY,54.025
El Salvador,2016,SLV,65.059
Equatorial Guinea,2016,GNQ,167.303
Eritrea,2016,ERI,72.316
Estonia,2016,EST,10.938
Eswatini,2016,SWZ,75.392
Ethiopia,2016,ETH,77.374
Faroe Islands,2016,FRO,8.770
Fiji,2016,FJI,21.943
Finland,2016,FIN,5.598
France,2016,FRA,7.557
French Polynesia,2016,PYF,33.933
Gabon,2016,GAB,99.801
"Gambia, The",2016,GMB,72.228
Georgia,2016,GEO,44.002
Germany,2016,DEU,9.230
Ghana,2016,GHA,70.423
Gibraltar,2016,GIB,8.796
Greece,2016,GRC,9.048
Greenland,2016,GRL,40.228
Grenada,2016,GRD,33.887
Guam,2016,GUM,40.661
Guatemala,2016,GTM,85.004
Guinea,2016,GIN,126.677
Guinea-Bissau,2016,GNB,94.263
Guyana,2016,GUY,79.007
Haiti,2016,HTI,56.454
Honduras,2016,HND,86.927
"Hong Kong SAR, China",2016,HKG,3.080
Hungary,2016,HUN,24.847
Iceland,2016,ISL,6.669
India,2016,IND,14.535
Indonesia,2016,IDN,35.356
"Iran, Islamic Rep.",2016,IRN,36.172
Iraq,2016,IRQ,71.098
Ireland,2016,IRL,7.307
Isle of Man,2016,IMN,10.440
Israel,2016,ISR,9.277
Italy,2016,ITA,4.766
Jamaica,2016,JAM,42.821
Japan,2016,JPN,3.750
Jordan,2016,JOR,28.618
Kazakhstan,2016,KAZ,28.612
Kenya,2016,KEN,73.781
Kiribati,2016,KIR,49.553
"Korea, Dem. People's Rep.",2016,PRK,0.592
"Korea, Rep.",2016,KOR,1.478
Kosovo,2016,XKX,8.408
Kuwait,2016,KWT,6.450
Kyrgyz Republic,2016,KGZ,39.706
Lao PDR,2016,LAO,84.146
Latvia,2016,LVA,15.499
Lebanon,2016,LBN,22.796
Lesotho,2016,LSO,85.849
Liberia,2016,LBR,137.803
Libya,2016,LBY,7.230
Liechtenstein,2016,LIE,2.519
Lithuania,2016,LTU,13.826
Luxembourg,2016,LUX,4.875
"Macao SAR, China",2016,MAC,2.011
Madagascar,2016,MDG,135.171
Malawi,2016,MWI,125.062
Malaysia,2016,MYS,10.460
Maldives,2016,MDV,10.319
Mali,2016,MLI,156.879
Malta,2016,MLT,13.164
Marshall Islands,2016,MHL,73.775
Mauritania,2016,MRT,97.886
Mauritius,2016,MUS,23.523
Mexico,2016,MEX,66.136
"Micronesia, Fed. Sts.",2016,FSM,47.720
Moldova,2016,MDA,35.425
Monaco,2016,MCO,10.866
Mongolia,2016,MNG,32.505
Montenegro,2016,MNE,10.704
Morocco,2016,MAR,28.529
Mozambique,2016,MOZ,167.354
Myanmar,2016,MMR,35.197
Namibia,2016,NAM,74.209
Nauru,2016,NRU,96.441
Nepal,2016,NPL,78.814
Netherlands,2016,NLD,2.961
New Caledonia,2016,NCL,16.944
New Zealand,2016,NZL,16.369
Nicaragua,2016,NIC,100.938
Niger,2016,NER,177.529
Nigeria,2016,NGA,106.944
North Macedonia,2016,MKD,18.616
Northern Mariana Islands,2016,MNP,32.202
Norway,2016,NOR,3.904
Oman,2016,OMN,13.861
Pakistan,2016,PAK,47.516
Palau,2016,PLW,29.432
Panama,2016,PAN,82.514
Papua New Guinea,2016,PNG,59.227
Paraguay,2016,PRY,76.626
Peru,2016,PER,53.228
Philippines,2016,PHL,50.165
Poland,2016,POL,12.343
Portugal,2016,PRT,7.949
Puerto Rico,2016,PRI,30.204
Qatar,2016,QAT,9.372
Romania,2016,ROU,37.585
Russian Federation,2016,RUS,21.857
Rwanda,2016,RWA,36.550
Samoa,2016,WSM,48.404
San Marino,2016,SMR,1.160
Sao Tome and Principe,2016,STP,97.439
Saudi Arabia,2016,SAU,14.963
Senegal,2016,SEN,71.989
Serbia,2016,SRB,15.758
Seychelles,2016,SYC,59.829
Sierra Leone,2016,SLE,111.154
Singapore,2016,SGP,2.405
Sint Maarten (Dutch part),2016,SXM,25.219
Slovak Republic,2016,SVK,26.163
Slovenia,2016,SVN,4.281
Solomon Islands,2016,SLB,58.323
Somalia,2016,SOM,130.624
South Africa,2016,ZAF,61.613
South Sudan,2016,SSD,104.704
Spain,2016,ESP,7.287
Sri Lanka,2016,LKA,16.485
St. Kitts and Nevis,2016,KNA,40.268
St. Lucia,2016,LCA,35.203
St. Martin (French part),2016,MAF,17.886
St. Vincent and the Grenadines,2016,VCT,58.779
Sudan,2016,SDN,77.501
Suriname,2016,SUR,58.237
Sweden,2016,SWE,4.513
Switzerland,2016,CHE,2.829
Syrian Arab Republic,2016,SYR,41.619
Tajikistan,2016,TJK,45.834
Tanzania,2016,TZA,122.395
Thailand,2016,THA,44.497
Timor-Leste,2016,TLS,34.913
Togo,2016,TGO,84.125
Tonga,2016,TON,24.933
Trinidad and Tobago,2016,TTO,38.876
Tunisia,2016,TUN,8.181
Turkiye,2016,TUR,24.226
Turkmenistan,2016,TKM,28.337
Turks and Caicos Islands,2016,TCA,22.332
Tuvalu,2016,TUV,32.480
Uganda,2016,UGA,121.568
Ukraine,2016,UKR,25.018
United Arab Emirates,2016,ARE,4.598
United Kingdom,2016,GBR,13.952
United States,2016,USA,20.080
Uruguay,2016,URY,50.844
Uzbekistan,2016,UZB,22.953
Vanuatu,2016,VUT,73.468
"Venezuela, RB",2016,VEN,84.191
Vietnam,2016,VNM,39.181
Virgin Islands (U.S.),2016,VIR,33.967
West Bank and Gaza,2016,PSE,45.950
"Yemen, Rep.",2016,YEM,72.829
Zambia,2016,ZMB,127.286
Zimbabwe,2016,ZWE,100.849
