Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
Greece,2021,GRC,82.900
Greenland,2021,GRL,73.750
Grenada,2021,GRD,77.533
Guam,2021,GUM,79.524
Guatemala,2021,GTM,70.963
Guinea,2021,GIN,60.535
Guinea-Bissau,2021,GNB,63.870
Guyana,2021,GUY,67.975
Haiti,2021,HTI,65.712
Honduras,2021,HND,72.175
"Hong Kong SAR, China",2021,HKG,87.940
Hungary,2021,HUN,77.600
Iceland,2021,ISL,84.600
India,2021,IND,68.835
Indonesia,2021,IDN,69.437
"Iran, Islamic Rep.",2021,IRN,75.692
Iraq,2021,IRQ,72.415
Ireland,2021,IRL,84.200
Isle of Man,2021,IMN,82.607
Israel,2021,ISR,84.600
Italy,2021,ITA,84.900
Jamaica,2021,JAM,71.477
Japan,2021,JPN,87.570
Jordan,2021,JOR,76.645
Kazakhstan,2021,KAZ,74.070
Kenya,2021,KEN,63.636
Kiribati,2021,KIR,65.773
"Korea, Dem. People's Rep.",2021,PRK,75.487
"Korea, Rep.",2021,KOR,86.600
Kosovo,2021,XKX,76.996
Kuwait,2021,KWT,79.300
Kyrgyz Republic,2021,KGZ,76.100
Lao PDR,2021,LAO,70.072
Latvia,2021,LVA,78.000
Lebanon,2021,LBN,76.357
Lesotho,2021,LSO,56.796
Liberia,2021,LBR,62.419
Libya,2021,LBY,74.938
Liechtenstein,2021,LIE,86.400
Lithuania,2021,LTU,78.800
Luxembourg,2021,LUX,84.800
"Macao SAR, China",2021,MAC,86.700
Madagascar,2021,MDG,64.256
Malawi,2021,MWI,68.246
Malaysia,2021,MYS,76.712
Maldives,2021,MDV,79.699
Mali,2021,MLI,60.406
Malta,2021,MLT,84.000
Marshall Islands,2021,MHL,67.841
Mauritania,2021,MRT,68.689
Mauritius,2021,MUS,77.240
Mexico,2021,MEX,73.352
"Micronesia, Fed. Sts.",2021,FSM,69.792
Moldova,2021,MDA,73.115
Monaco,2021,MCO,87.294
Mongolia,2021,MNG,76.470
Montenegro,2021,MNE,77.000
Morocco,2021,MAR,75.659
Mozambique,2021,MOZ,63.142
Myanmar,2021,MMR,68.824
Namibia,2021,NAM,64.551
Nauru,2021,NRU,63.417
Nepal,2021,NPL,69.890
Netherlands,2021,NLD,83.000
New Caledonia,2021,NCL,80.314
New Zealand,2021,NZL,84.000
Nicaragua,2021,NIC,73.446
Niger,2021,NER,60.523
Nigeria,2021,NGA,53.741
North Macedonia,2021,MKD,75.500
Northern Mariana Islands,2021,MNP,80.103
Norway,2021,NOR,84.700
Oman,2021,OMN,77.704
Pakistan,2021,PAK,68.299
Palau,2021,PLW,71.348
Panama,2021,PAN,80.256
Papua New Guinea,2021,PNG,67.449
Paraguay,2021,PRY,71.335
Peru,2021,PER,74.714
Philippines,2021,PHL,69.700
Poland,2021,POL,79.500
Portugal,2021,PRT,84.400
Puerto Rico,2021,PRI,83.821
Qatar,2021,QAT,82.184
Romania,2021,ROU,76.600
Russian Federation,2021,RUS,74.510
Rwanda,2021,RWA,68.922
Samoa,2021,WSM,73.016
San Marino,2021,SMR,85.172
Sao Tome and Principe,2021,STP,71.978
Saudi Arabia,2021,SAU,79.881
Senegal,2021,SEN,68.981
Serbia,2021,SRB,75.700
Seychelles,2021,SYC,75.600
Sierra Leone,2021,SLE,61.736
Singapore,2021,SGP,85.500
Sint Maarten (Dutch part),2021,SXM,77.614
Slovak Republic,2021,SVK,78.200
Slovenia,2021,SVN,83.800
Solomon Islands,2021,SLB,70.302
Somalia,2021,SOM,57.752
South Africa,2021,ZAF,64.772
South Sudan,2021,SSD,59.726
Spain,2021,ESP,86.200
Sri Lanka,2021,LKA,79.522
St. Kitts and Nevis,2021,KNA,73.172
St. Lucia,2021,LCA,72.917
St. Martin (French part),2021,MAF,83.850
St. Vincent and the Grenadines,2021,VCT,72.830
Sudan,2021,SDN,67.354
Suriname,2021,SUR,72.140
Sweden,2021,SWE,84.900
Switzerland,2021,CHE,85.800
Syrian Arab Republic,2021,SYR,74.594
Tajikistan,2021,TJK,71.863
Tanzania,2021,TZA,69.093
Thailand,2021,THA,82.098
Timor-Leste,2021,TLS,67.959
Togo,2021,TGO,61.589
Tonga,2021,TON,75.693
Trinidad and Tobago,2021,TTO,74.481
Tunisia,2021,TUN,75.820
Turkiye,2021,TUR,79.004
Turkmenistan,2021,TKM,72.189
Turks and Caicos Islands,2021,TCA,79.633
Tuvalu,2021,TUV,69.601
Uganda,2021,UGA,69.235
Ukraine,2021,UKR,76.033
United Arab Emirates,2021,ARE,80.926
United Kingdom,2021,GBR,82.671
United States,2021,USA,79.300
Uruguay,2021,URY,79.444
Uzbekistan,2021,UZB,74.485
Vanuatu,2021,VUT,72.430
"Venezuela, RB",2021,VEN,75.619
Vietnam,2021,VNM,78.771
Virgin Islands (U.S.),2021,VIR,83.500
West Bank and Gaza,2021,PSE,76.440
"Yemen, Rep.",2021,YEM,69.170
Zambia,2021,ZMB,64.925
Zimbabwe,2021,ZWE,62.289
