Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
Afghanistan,2021,AFG,64.079
Albania,2021,ALB,79.002
Algeria,2021,DZA,76.650
American Samoa,2021,ASM,75.730
Andorra,2021,AND,84.678
Angola,2021,AGO,65.441
Antigua and Barbuda,2021,ATG,79.757
Argentina,2021,ARG,76.860
Armenia,2021,ARM,77.400
Aruba,2021,ABW,76.417
Australia,2021,AUS,85.400
Austria,2021,AUT,83.700
Azerbaijan,2021,AZE,73.744
"Bahamas, The",2021,BHS,74.145
Bahrain,2021,BHR,78.844
Bangladesh,2021,BGD,72.847
Barbados,2021,BRB,78.720
Belarus,2021,BLR,77.176
Belgium,2021,BEL,84.300
Belize,2021,BLZ,73.796
Benin,2021,BEN,60.825
Bermuda,2021,BMU,85.385
Bhutan,2021,BTN,74.365
Bolivia,2021,BOL,65.250
Bosnia and Herzegovina,2021,BIH,77.649
Botswana,2021,BWA,65.511
Brazil,2021,BRA,76.401
British Virgin Islands,2021,VGB,78.262
Brunei Darussalam,2021,BRN,77.032
Bulgaria,2021,BGR,74.900
Burkina Faso,2021,BFA,61.831
Burundi,2021,BDI,64.111
Cabo Verde,2021,CPV,77.876
Cambodia,2021,KHM,71.834
Cameroon,2021,CMR,63.297
Canada,2021,CAN,83.960
Cayman Islands,2021,CYM,81.910
Central African Republic,2021,CAF,46.032
Chad,2021,TCD,54.983
Channel Islands,2021,CHI,82.500
Chile,2021,CHL,81.486
China,2021,CHN,80.912
Colombia,2021,COL,76.349
Comoros,2021,COM,67.314
"Congo, Dem. Rep.",2021,COD,62.137
"Congo, Rep.",2021,COG,65.750
Costa Rica,2021,CRI,81.208
Cote d'Ivoire,2021,CIV,62.313
Croatia,2021,HRV,79.600
Cuba,2021,CUB,75.966
Curacao,2021,CUW,79.709
Cyprus,2021,CYP,83.016
Czechia,2021,CZE,80.500
Denmark,2021,DNK,83.300
Djibouti,2021,DJI,66.403
Dominica,2021,DMA,73.033
Dominican Republic,2021,DOM,75.449
Ecuador,2021,ECU,76.007
"Egypt, Arab Rep.",2021,EGY,70.808
El Salvador,2021,SLV,74.344
Equatorial Guinea,2021,GNQ,64.373
Eritrea,2021,ERI,68.978
Estonia,2021,EST,81.400
Eswatini,2021,SWZ,61.392
Ethiopia,2021,ETH,68.715
Faroe Islands,2021,FRO,85.200
Fiji,2021,FJI,66.931
Finland,2021,FIN,84.600
France,2021,FRA,85.500
French Polynesia,2021,PYF,82.116
Gabon,2021,GAB,69.607
"Gambia, The",2021,GMB,65.446
Georgia,2021,GEO,75.778
Germany,2021,DEU,83.300
Ghana,2021,GHA,66.533
Gibraltar,2021,GIB,82.801
