Economy,Year,Economy Code,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
Afghanistan,2018,AFG,73.021
Albania,2018,ALB,15.456
Algeria,2018,DZA,9.495
American Samoa,2018,ASM,35.427
Andorra,2018,AND,3.832
Angola,2018,AGO,146.305
Antigua and Barbuda,2018,ATG,28.173
Argentina,2018,ARG,49.926
Armenia,2018,ARM,18.657
Aruba,2018,ABW,24.049
Australia,2018,AUS,9.741
Austria,2018,AUT,5.715
Azerbaijan,2018,AZE,49.913
"Bahamas, The",2018,BHS,26.308
Bahrain,2018,BHR,11.692
Bangladesh,2018,BGD,80.415
Barbados,2018,BRB,45.864
Belarus,2018,BLR,11.932
Belgium,2018,BEL,5.528
Belize,2018,BLZ,72.190
Benin,2018,BEN,87.888
Bermuda,2018,BMU,3.595
Bhutan,2018,BTN,9.369
Bolivia,2018,BOL,69.522
Bosnia and Herzegovina,2018,BIH,11.814
Botswana,2018,BWA,54.313
Brazil,2018,BRA,54.287
British Virgin Islands,2018,VGB,12.119
Brunei Darussalam,2018,BRN,10.290
Bulgaria,2018,BGR,38.873
Burkina Faso,2018,BFA,104.185
Burundi,2018,BDI,57.370
Cabo Verde,2018,CPV,50.970
Cambodia,2018,KHM,51.007
Cameroon,2018,CMR,117.067
Canada,2018,CAN,7.006
Cayman Islands,2018,CYM,10.560
Central African Republic,2018,CAF,165.544
Chad,2018,TCD,145.220
Channel Islands,2018,CHI,9.874
Chile,2018,CHL,23.705
China,2018,CHN,8.691
Colombia,2018,COL,65.170
Comoros,2018,COM,59.952
"Congo, Dem. Rep.",2018,COD,111.807
"Congo, Rep.",2018,COG,115.695
Costa Rica,2018,CRI,49.006
Cote d'Ivoire,2018,CIV,102.061
Croatia,2018,HRV,9.034
Cuba,2018,CUB,52.373
Curacao,2018,CUW,21.678
Cyprus,2018,CYP,7.136
Czechia,2018,CZE,10.738
Denmark,2018,DNK,2.446
Djibouti,2018,DJI,20.318
Dominica,2018,DMA,36.069
Dominican Republic,2018,DOM,72.619
Ecuador,2018,ECU,72.494
"Egypt, Arab Rep.",2018,EGY,47.175
El Salvador,2018,SLV,57.857
Equatorial Guinea,2018,GNQ,161.597
Eritrea,2018,ERI,69.626
Estonia,2018,EST,9.298
Eswatini,2018,SWZ,74.104
Ethiopia,2018,ETH,74.733
Faroe Islands,2018,FRO,7.013
Fiji,2018,FJI,21.827
Finland,2018,FIN,4.372
France,2018,FRA,6.397
French Polynesia,2018,PYF,29.974
Gabon,2018,GAB,98.055
"Gambia, The",2018,GMB,64.859
Georgia,2018,GEO,32.988
Germany,2018,DEU,7.665
Ghana,2018,GHA,66.515
Gibraltar,2018,GIB,8.797
Greece,2018,GRC,8.566
Greenland,2018,GRL,38.376
Grenada,2018,GRD,31.136
Guam,2018,GUM,36.116
Guatemala,2018,GTM,81.694
Guinea,2018,GIN,126.102
Guinea-Bissau,2018,GNB,88.417
Guyana,2018,GUY,76.143
Haiti,2018,HTI,54.607
Honduras,2018,HND,85.750
"Hong Kong SAR, China",2018,HKG,2.446
Hungary,2018,HUN,22.212
Iceland,2018,ISL,5.381
India,2018,IND,15.133
Indonesia,2018,IDN,30.648
"Iran, Islamic Rep.",2018,IRN,32.963
Iraq,2018,IRQ,64.639
Ireland,2018,IRL,6.104
Isle of Man,2018,IMN,9.615
Israel,2018,ISR,8.186
Italy,2018,ITA,4.064
Jamaica,2018,JAM,38.233
Japan,2018,JPN,3.076
Jordan,2018,JOR,24.292
Kazakhstan,2018,KAZ,23.453
Kenya,2018,KEN,66.659
Kiribati,2018,KIR,49.683
"Korea, Dem. People's Rep.",2018,PRK,0.570
"Korea, Rep.",2018,KOR,1.179
Kosovo,2018,XKX,8.054
Kuwait,2018,KWT,5.158
Kyrgyz Republic,2018,KGZ,37.479
Lao PDR,2018,LAO,84.175
Latvia,2018,LVA,12.210
Lebanon,2018,LBN,22.341
Lesotho,2018,LSO,80.001
Liberia,2018,LBR,133.418
Libya,2018,LBY,6.797
Liechtenstein,2018,LIE,2.240
Lithuania,2018,LTU,11.745
Luxembourg,2018,LUX,4.347
"Macao SAR, China",2018,MAC,1.349
Madagascar,2018,MDG,136.257
Malawi,2018,MWI,122.398
Malaysia,2018,MYS,8.878
Maldives,2018,MDV,7.831
Mali,2018,MLI,150.828
Malta,2018,MLT,12.282
Marshall Islands,2018,MHL,74.292
Mauritania,2018,MRT,95.559
Mauritius,2018,MUS,23.330
Mexico,2018,MEX,63.447
"Micronesia, Fed. Sts.",2018,FSM,46.866
Moldova,2018,MDA,30.960
Monaco,2018,MCO,10.684
Mongolia,2018,MNG,30.995
Montenegro,2018,MNE,10.088
Morocco,2018,MAR,27.658
Mozambique,2018,MOZ,163.386
Myanmar,2018,MMR,34.528
Namibia,2018,NAM,73.170
Nauru,2018,NRU,85.090
Nepal,2018,NPL,72.782
Netherlands,2018,NLD,2.603
New Caledonia,2018,NCL,14.944
New Zealand,2018,NZL,13.548
Nicaragua,2018,NIC,98.740
Niger,2018,NER,163.784
Nigeria,2018,NGA,96.601
North Macedonia,2018,MKD,17.604
Northern Mariana Islands,2018,MNP,28.421
Norway,2018,NOR,2.602
Oman,2018,OMN,11.001
Pakistan,2018,PAK,46.499
Palau,2018,PLW,29.973
Panama,2018,PAN,75.109
Papua New Guinea,2018,PNG,57.826
Paraguay,2018,PRY,75.157
Peru,2018,PER,49.142
Philippines,2018,PHL,42.908
Poland,2018,POL,10.579
Portugal,2018,PRT,7.595
Puerto Rico,2018,PRI,20.072
Qatar,2018,QAT,7.789
Romania,2018,ROU,36.909
Russian Federation,2018,RUS,16.031
Rwanda,2018,RWA,32.495
Samoa,2018,WSM,47.923
San Marino,2018,SMR,1.088
Sao Tome and Principe,2018,STP,91.095
Saudi Arabia,2018,SAU,14.249
Senegal,2018,SEN,66.954
Serbia,2018,SRB,14.099
Seychelles,2018,SYC,59.267
Sierra Leone,2018,SLE,104.136
Singapore,2018,SGP,2.359
Sint Maarten (Dutch part),2018,SXM,20.882
Slovak Republic,2018,SVK,27.014
Slovenia,2018,SVN,4.039
Solomon Islands,2018,SLB,54.750
Somalia,2018,SOM,126.568
South Africa,2018,ZAF,51.417
South Sudan,2018,SSD,101.209
Spain,2018,ESP,6.243
Sri Lanka,2018,LKA,15.778
St. Kitts and Nevis,2018,KNA,40.390
St. Lucia,2018,LCA,32.127
St. Martin (French part),2018,MAF,14.463
St. Vincent and the Grenadines,2018,VCT,54.480
Sudan,2018,SDN,73.951
Suriname,2018,SUR,53.570
Sweden,2018,SWE,3.993
Switzerland,2018,CHE,2.334
Syrian Arab Republic,2018,SYR,41.227
Tajikistan,2018,TJK,42.908
Tanzania,2018,TZA,120.641
Thailand,2018,THA,34.703
Timor-Leste,2018,TLS,31.719
Togo,2018,TGO,82.420
Tonga,2018,TON,25.411
Trinidad and Tobago,2018,TTO,38.440
Tunisia,2018,TUN,6.630
Turkiye,2018,TUR,19.835
Turkmenistan,2018,TKM,25.820
Turks and Caicos Islands,2018,TCA,20.332
Tuvalu,2018,TUV,32.056
Uganda,2018,UGA,117.279
Ukraine,2018,UKR,18.583
United Arab Emirates,2018,ARE,3.740
United Kingdom,2018,GBR,12.068
United States,2018,USA,17.164
Uruguay,2018,URY,37.762
Uzbekistan,2018,UZB,21.987
Vanuatu,2018,VUT,71.437
"Venezuela, RB",2018,VEN,75.503
Vietnam,2018,VNM,35.417
Virgin Islands (U.S.),2018,VIR,32.584
West Bank and Gaza,2018,PSE,41.694
"Yemen, Rep.",2018,YEM,73.698
Zambia,2018,ZMB,124.398
Zimbabwe,2018,ZWE,98.612
