Economy,Year,Economy Code,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
Afghanistan,2023,AFG,64.068
Albania,2023,ALB,12.789
Algeria,2023,DZA,8.698
American Samoa,2023,ASM,34.181
Andorra,2023,AND,3.480
Angola,2023,AGO,140.840
Antigua and Barbuda,2023,ATG,32.932
Argentina,2023,ARG,26.414
Armenia,2023,ARM,13.445
Aruba,2023,ABW,18.788
Australia,2023,AUS,6.715
Austria,2023,AUT,3.836
Azerbaijan,2023,AZE,34.767
"Bahamas, The",2023,BHS,24.564
Bahrain,2023,BHR,7.535
Bangladesh,2023,BGD,73.179
Barbados,2023,BRB,45.332
Belarus,2023,BLR,8.595
Belgium,2023,BEL,3.670
Belize,2023,BLZ,55.232
Benin,2023,BEN,77.844
Bermuda,2023,BMU,1.546
Bhutan,2023,BTN,9.364
Bolivia,2023,BOL,64.848
Bosnia and Herzegovina,2023,BIH,11.217
Botswana,2023,BWA,53.805
Brazil,2023,BRA,42.686
British Virgin Islands,2023,VGB,15.270
Brunei Darussalam,2023,BRN,8.518
Bulgaria,2023,BGR,39.098
Burkina Faso,2023,BFA,87.082
Burundi,2023,BDI,53.364
Cabo Verde,2023,CPV,38.755
Cambodia,2023,KHM,46.890
Cameroon,2023,CMR,106.661
Canada,2023,CAN,4.805
Cayman Islands,2023,CYM,11.338
Central African Republic,2023,CAF,163.093
Chad,2023,TCD,134.738
Channel Islands,2023,CHI,8.681
Chile,2023,CHL,6.542
China,2023,CHN,5.227
Colombia,2023,COL,59.473
Comoros,2023,COM,55.233
"Congo, Dem. Rep.",2023,COD,106.884
"Congo, Rep.",2023,COG,109.880
Costa Rica,2023,CRI,26.251
Cote d'Ivoire,2023,CIV,92.085
Croatia,2023,HRV,6.570
Cuba,2023,CUB,48.674
Curacao,2023,CUW,12.954
Cyprus,2023,CYP,6.981
Czechia,2023,CZE,5.979
Denmark,2023,DNK,1.140
Djibouti,2023,DJI,18.972
Dominica,2023,DMA,34.138
Dominican Republic,2023,DOM,52.774
Ecuador,2023,ECU,55.531
"Egypt, Arab Rep.",2023,EGY,41.754
El Salvador,2023,SLV,54.230
Equatorial Guinea,2023,GNQ,150.442
Eritrea,2023,ERI,65.177
Estonia,2023,EST,5.026
Eswatini,2023,SWZ,68.726
Ethiopia,2023,ETH,69.865
Faroe Islands,2023,FRO,4.672
Fiji,2023,FJI,21.169
Finland,2023,FIN,3.095
France,2023,FRA,3.507
French Polynesia,2023,PYF,24.344
Gabon,2023,GAB,91.707
"Gambia, The",2023,GMB,58.094
Georgia,2023,GEO,21.137
Germany,2023,DEU,5.473
Ghana,2023,GHA,58.238
Gibraltar,2023,GIB,8.800
Greece,2023,GRC,7.044
Greenland,2023,GRL,36.101
Grenada,2023,GRD,29.088
Guam,2023,GUM,33.390
Guatemala,2023,GTM,68.269
Guinea,2023,GIN,118.577
Guinea-Bissau,2023,GNB,81.981
Guyana,2023,GUY,69.927
Haiti,2023,HTI,49.775
Honduras,2023,HND,82.079
"Hong Kong SAR, China",2023,HKG,1.120
Hungary,2023,HUN,17.537
Iceland,2023,ISL,3.369
India,2023,IND,14.060
Indonesia,2023,IDN,26.419
"Iran, Islamic Rep.",2023,IRN,26.204
Iraq,2023,IRQ,58.006
Ireland,2023,IRL,4.069
Isle of Man,2023,IMN,8.685
Israel,2023,ISR,6.204
Italy,2023,ITA,2.852
Jamaica,2023,JAM,36.541
Japan,2023,JPN,1.737
Jordan,2023,JOR,18.425
Kazakhstan,2023,KAZ,18.235
Kenya,2023,KEN,56.313
Kiribati,2023,KIR,44.026
"Korea, Dem. People's Rep.",2023,PRK,0.512
"Korea, Rep.",2023,KOR,0.537
Kosovo,2023,XKX,7.834
Kuwait,2023,KWT,1.576
Kyrgyz Republic,2023,KGZ,28.324
Lao PDR,2023,LAO,81.654
Latvia,2023,LVA,7.565
Lebanon,2023,LBN,20.831
Lesotho,2023,LSO,70.642
Liberia,2023,LBR,126.012
Libya,2023,LBY,5.923
Liechtenstein,2023,LIE,1.718
Lithuania,2023,LTU,5.854
Luxembourg,2023,LUX,4.023
"Macao SAR, China",2023,MAC,0.465
Madagascar,2023,MDG,129.802
Malawi,2023,MWI,113.577
Malaysia,2023,MYS,5.962
Maldives,2023,MDV,5.425
Mali,2023,MLI,138.564
Malta,2023,MLT,10.398
Marshall Islands,2023,MHL,71.839
Mauritania,2023,MRT,88.903
Mauritius,2023,MUS,19.768
Mexico,2023,MEX,60.099
"Micronesia, Fed. Sts.",2023,FSM,43.719
Moldova,2023,MDA,23.040
Monaco,2023,MCO,9.690
Mongolia,2023,MNG,19.739
Montenegro,2023,MNE,9.375
Morocco,2023,MAR,25.103
Mozambique,2023,MOZ,153.450
Myanmar,2023,MMR,33.506
Namibia,2023,NAM,66.034
Nauru,2023,NRU,76.239
Nepal,2023,NPL,67.169
Netherlands,2023,NLD,1.858
New Caledonia,2023,NCL,12.156
New Zealand,2023,NZL,10.879
Nicaragua,2023,NIC,93.452
Niger,2023,NER,145.324
Nigeria,2023,NGA,86.432
North Macedonia,2023,MKD,12.963
Northern Mariana Islands,2023,MNP,26.151
Norway,2023,NOR,1.405
Oman,2023,OMN,5.986
Pakistan,2023,PAK,41.095
Palau,2023,PLW,29.927
Panama,2023,PAN,57.342
Papua New Guinea,2023,PNG,54.069
Paraguay,2023,PRY,70.332
Peru,2023,PER,43.562
Philippines,2023,PHL,31.887
