Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
Afghanistan,2019,AFG,66.144
Albania,2019,ALB,81.060
Algeria,2019,DZA,77.091
American Samoa,2019,ASM,75.723
Andorra,2019,AND,86.101
Angola,2019,AGO,65.506
Antigua and Barbuda,2019,ATG,79.844
Argentina,2019,ARG,79.439
Armenia,2019,ARM,79.500
Aruba,2019,ABW,78.814
Australia,2019,AUS,85.000
Austria,2019,AUT,84.200
Azerbaijan,2019,AZE,76.235
"Bahamas, The",2019,BHS,74.176
Bahrain,2019,BHR,81.540
Bangladesh,2019,BGD,74.399
Barbados,2019,BRB,78.536
Belarus,2019,BLR,79.400
Belgium,2019,BEL,84.300
Belize,2019,BLZ,75.668
Benin,2019,BEN,61.069
Bermuda,2019,BMU,85.033
Bhutan,2019,BTN,73.898
Bolivia,2019,BOL,70.266
Bosnia and Herzegovina,2019,BIH,80.463
Botswana,2019,BWA,69.585
Brazil,2019,BRA,79.023
British Virgin Islands,2019,VGB,79.646
Brunei Darussalam,2019,BRN,77.286
Bulgaria,2019,BGR,78.800
Burkina Faso,2019,BFA,61.948
Burundi,2019,BDI,64.028
Cabo Verde,2019,CPV,78.686
Cambodia,2019,KHM,72.561
Cameroon,2019,CMR,63.825
Canada,2019,CAN,84.320
Cayman Islands,2019,CYM,81.568
Central African Republic,2019,CAF,38.771
Chad,2019,TCD,54.583
Channel Islands,2019,CHI,83.400
Chile,2019,CHL,82.549
China,2019,CHN,80.747
Colombia,2019,COL,79.695
Comoros,2019,COM,67.683
"Congo, Dem. Rep.",2019,COD,62.153
"Congo, Rep.",2019,COG,64.633
Costa Rica,2019,CRI,82.963
Cote d'Ivoire,2019,CIV,62.295
Croatia,2019,HRV,81.400
Cuba,2019,CUB,79.913
Curacao,2019,CUW,80.573
Cyprus,2019,CYP,83.633
Czechia,2019,CZE,82.200
Denmark,2019,DNK,83.500
Djibouti,2019,DJI,66.863
Dominica,2019,DMA,74.508
Dominican Republic,2019,DOM,76.448
Ecuador,2019,ECU,79.975
"Egypt, Arab Rep.",2019,EGY,73.415
El Salvador,2019,SLV,75.979
Equatorial Guinea,2019,GNQ,64.144
Eritrea,2019,ERI,69.360
Estonia,2019,EST,83.000
Eswatini,2019,SWZ,62.541
Ethiopia,2019,ETH,68.863
Faroe Islands,2019,FRO,84.800
Fiji,2019,FJI,68.992
Finland,2019,FIN,84.800
France,2019,FRA,85.900
French Polynesia,2019,PYF,85.759
Gabon,2019,GAB,69.764
"Gambia, The",2019,GMB,65.927
Georgia,2019,GEO,78.888
Germany,2019,DEU,83.700
Ghana,2019,GHA,66.574
Gibraltar,2019,GIB,85.790
Greece,2019,GRC,84.200
Greenland,2019,GRL,74.280
Grenada,2019,GRD,78.194
Guam,2019,GUM,80.892
Guatemala,2019,GTM,74.018
Guinea,2019,GIN,60.529
Guinea-Bissau,2019,GNB,64.305
Guyana,2019,GUY,72.848
Haiti,2019,HTI,67.290
Honduras,2019,HND,74.726
"Hong Kong SAR, China",2019,HKG,88.060
Hungary,2019,HUN,79.700
Iceland,2019,ISL,84.700
India,2019,IND,72.287
Indonesia,2019,IDN,72.389
"Iran, Islamic Rep.",2019,IRN,78.832
Iraq,2019,IRQ,73.010
Ireland,2019,IRL,84.700
Isle of Man,2019,IMN,82.778
Israel,2019,ISR,84.700
Italy,2019,ITA,85.700
Jamaica,2019,JAM,74.008
Japan,2019,JPN,87.450
Jordan,2019,JOR,79.231
Kazakhstan,2019,KAZ,77.743
Kenya,2019,KEN,65.100
Kiribati,2019,KIR,67.498
"Korea, Dem. People's Rep.",2019,PRK,75.863
"Korea, Rep.",2019,KOR,86.300
Kosovo,2019,XKX,79.363
Kuwait,2019,KWT,83.030
Kyrgyz Republic,2019,KGZ,75.800
Lao PDR,2019,LAO,70.156
Latvia,2019,LVA,80.100
Lebanon,2019,LBN,80.048
Lesotho,2019,LSO,57.674
Liberia,2019,LBR,62.437
Libya,2019,LBY,76.203
Liechtenstein,2019,LIE,85.800
Lithuania,2019,LTU,81.200
Luxembourg,2019,LUX,85.200
"Macao SAR, China",2019,MAC,86.900
Madagascar,2019,MDG,65.142
Malawi,2019,MWI,68.428
Malaysia,2019,MYS,78.604
Maldives,2019,MDV,81.514
Mali,2019,MLI,60.424
Malta,2019,MLT,84.400
Marshall Islands,2019,MHL,68.448
Mauritania,2019,MRT,69.518
Mauritius,2019,MUS,77.560
Mexico,2019,MEX,77.422
"Micronesia, Fed. Sts.",2019,FSM,69.548
Moldova,2019,MDA,74.622
Monaco,2019,MCO,88.323
Mongolia,2019,MNG,75.960
Montenegro,2019,MNE,79.500
Morocco,2019,MAR,76.391
Mozambique,2019,MOZ,63.736
Myanmar,2019,MMR,69.478
Namibia,2019,NAM,67.299
Nauru,2019,NRU,64.050
Nepal,2019,NPL,70.700
Netherlands,2019,NLD,83.700
New Caledonia,2019,NCL,80.498
New Zealand,2019,NZL,83.900
Nicaragua,2019,NIC,76.416
Niger,2019,NER,60.947
Nigeria,2019,NGA,53.240
North Macedonia,2019,MKD,78.600
Northern Mariana Islands,2019,MNP,79.817
Norway,2019,NOR,84.700
Oman,2019,OMN,81.873
Pakistan,2019,PAK,69.200
Palau,2019,PLW,72.041
Panama,2019,PAN,81.567
Papua New Guinea,2019,PNG,68.430
Paraguay,2019,PRY,76.796
Peru,2019,PER,78.576
Philippines,2019,PHL,72.702
Poland,2019,POL,81.900
Portugal,2019,PRT,84.800
Puerto Rico,2019,PRI,85.140
Qatar,2019,QAT,84.064
Romania,2019,ROU,79.500
Russian Federation,2019,RUS,78.170
Rwanda,2019,RWA,68.809
Samoa,2019,WSM,72.195
San Marino,2019,SMR,86.787
Sao Tome and Principe,2019,STP,71.865
Saudi Arabia,2019,SAU,80.375
Senegal,2019,SEN,69.574
Serbia,2019,SRB,78.600
Seychelles,2019,SYC,78.400
Sierra Leone,2019,SLE,60.871
Singapore,2019,SGP,85.900
Sint Maarten (Dutch part),2019,SXM,78.577
Slovak Republic,2019,SVK,81.200
Slovenia,2019,SVN,84.500
Solomon Islands,2019,SLB,71.362
Somalia,2019,SOM,59.310
South Africa,2019,ZAF,69.216
South Sudan,2019,SSD,60.474
