Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
Spain,2019,ESP,86.700
Sri Lanka,2019,LKA,79.888
St. Kitts and Nevis,2019,KNA,75.476
St. Lucia,2019,LCA,76.089
St. Martin (French part),2019,MAF,83.843
St. Vincent and the Grenadines,2019,VCT,73.993
Sudan,2019,SDN,68.642
Suriname,2019,SUR,75.080
Sweden,2019,SWE,84.800
Switzerland,2019,CHE,85.800
Syrian Arab Republic,2019,SYR,74.253
Tajikistan,2019,TJK,73.182
Tanzania,2019,TZA,68.916
Thailand,2019,THA,81.763
Timor-Leste,2019,TLS,68.285
Togo,2019,TGO,61.204
Tonga,2019,TON,75.965
Trinidad and Tobago,2019,TTO,76.034
Tunisia,2019,TUN,78.259
Turkiye,2019,TUR,80.890
Turkmenistan,2019,TKM,72.309
Turks and Caicos Islands,2019,TCA,79.966
Tuvalu,2019,TUV,69.735
Uganda,2019,UGA,69.130
Ukraine,2019,UKR,78.730
United Arab Emirates,2019,ARE,84.047
United Kingdom,2019,GBR,83.275
United States,2019,USA,81.400
Uruguay,2019,URY,81.293
Uzbekistan,2019,UZB,75.374
Vanuatu,2019,VUT,73.292
"Venezuela, RB",2019,VEN,76.677
Vietnam,2019,VNM,78.972
Virgin Islands (U.S.),2019,VIR,83.100
West Bank and Gaza,2019,PSE,78.092
"Yemen, Rep.",2019,YEM,70.061
Zambia,2019,ZMB,65.440
Zimbabwe,2019,ZWE,63.049
