Economy,Year,Economy Code,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
Afghanistan,2013,AFG,89.337
Albania,2013,ALB,21.632
Algeria,2013,DZA,10.141
American Samoa,2013,ASM,42.076
Andorra,2013,AND,5.362
Angola,2013,AGO,153.536
Antigua and Barbuda,2013,ATG,34.252
Argentina,2013,ARG,66.104
Armenia,2013,ARM,26.982
Aruba,2013,ABW,36.672
Australia,2013,AUS,14.697
Austria,2013,AUT,8.254
Azerbaijan,2013,AZE,60.725
"Bahamas, The",2013,BHS,35.100
Bahrain,2013,BHR,16.284
Bangladesh,2013,BGD,102.256
Barbados,2013,BRB,45.930
Belarus,2013,BLR,23.218
Belgium,2013,BEL,7.546
Belize,2013,BLZ,72.417
Benin,2013,BEN,96.125
Bermuda,2013,BMU,8.850
Bhutan,2013,BTN,22.160
Bolivia,2013,BOL,75.473
Bosnia and Herzegovina,2013,BIH,10.940
Botswana,2013,BWA,55.903
Brazil,2013,BRA,63.947
British Virgin Islands,2013,VGB,16.928
Brunei Darussalam,2013,BRN,13.775
Bulgaria,2013,BGR,42.513
Burkina Faso,2013,BFA,127.463
Burundi,2013,BDI,67.548
Cabo Verde,2013,CPV,62.417
Cambodia,2013,KHM,55.190
Cameroon,2013,CMR,121.770
Canada,2013,CAN,11.529
Cayman Islands,2013,CYM,23.298
Central African Republic,2013,CAF,166.774
Chad,2013,TCD,172.650
Channel Islands,2013,CHI,14.942
Chile,2013,CHL,47.704
China,2013,CHN,11.976
Colombia,2013,COL,77.499
Comoros,2013,COM,68.911
"Congo, Dem. Rep.",2013,COD,121.236
"Congo, Rep.",2013,COG,123.514
Costa Rica,2013,CRI,61.182
Cote d'Ivoire,2013,CIV,118.623
Croatia,2013,HRV,10.506
Cuba,2013,CUB,51.077
Curacao,2013,CUW,34.307
Cyprus,2013,CYP,5.346
Czechia,2013,CZE,12.327
Denmark,2013,DNK,4.204
Djibouti,2013,DJI,22.507
Dominica,2013,DMA,43.280
Dominican Republic,2013,DOM,88.768
Ecuador,2013,ECU,83.498
"Egypt, Arab Rep.",2013,EGY,57.538
El Salvador,2013,SLV,70.592
Equatorial Guinea,2013,GNQ,173.885
Eritrea,2013,ERI,72.277
Estonia,2013,EST,16.190
Eswatini,2013,SWZ,80.833
Ethiopia,2013,ETH,83.509
Faroe Islands,2013,FRO,10.558
Fiji,2013,FJI,35.093
Finland,2013,FIN,7.566
France,2013,FRA,9.218
French Polynesia,2013,PYF,39.802
Gabon,2013,GAB,108.161
"Gambia, The",2013,GMB,86.721
Georgia,2013,GEO,46.467
Germany,2013,DEU,7.844
Ghana,2013,GHA,72.474
Gibraltar,2013,GIB,12.670
Greece,2013,GRC,8.203
Greenland,2013,GRL,41.377
Grenada,2013,GRD,41.090
Guam,2013,GUM,50.969
Guatemala,2013,GTM,88.548
Guinea,2013,GIN,136.008
Guinea-Bissau,2013,GNB,105.848
Guyana,2013,GUY,80.042
Haiti,2013,HTI,60.372
Honduras,2013,HND,91.134
"Hong Kong SAR, China",2013,HKG,3.323
Hungary,2013,HUN,21.738
Iceland,2013,ISL,8.698
India,2013,IND,35.326
Indonesia,2013,IDN,42.675
"Iran, Islamic Rep.",2013,IRN,39.006
Iraq,2013,IRQ,85.749
Ireland,2013,IRL,9.694
Isle of Man,2013,IMN,10.809
Israel,2013,ISR,10.315
Italy,2013,ITA,5.891
Jamaica,2013,JAM,49.793
Japan,2013,JPN,4.361
Jordan,2013,JOR,34.191
Kazakhstan,2013,KAZ,35.166
Kenya,2013,KEN,95.576
Kiribati,2013,KIR,50.457
"Korea, Dem. People's Rep.",2013,PRK,0.620
"Korea, Rep.",2013,KOR,1.739
Kosovo,2013,XKX,10.894
Kuwait,2013,KWT,8.154
Kyrgyz Republic,2013,KGZ,44.212
Lao PDR,2013,LAO,86.643
Latvia,2013,LVA,18.905
Lebanon,2013,LBN,22.747
Lesotho,2013,LSO,88.379
Liberia,2013,LBR,142.286
Libya,2013,LBY,7.520
Liechtenstein,2013,LIE,2.423
Lithuania,2013,LTU,14.692
Luxembourg,2013,LUX,5.823
"Macao SAR, China",2013,MAC,2.908
Madagascar,2013,MDG,136.369
Malawi,2013,MWI,135.531
Malaysia,2013,MYS,13.349
Maldives,2013,MDV,14.021
Mali,2013,MLI,164.264
Malta,2013,MLT,14.189
Marshall Islands,2013,MHL,76.071
Mauritania,2013,MRT,100.990
Mauritius,2013,MUS,26.724
Mexico,2013,MEX,77.805
"Micronesia, Fed. Sts.",2013,FSM,48.608
Moldova,2013,MDA,29.682
Monaco,2013,MCO,10.780
Mongolia,2013,MNG,29.434
Montenegro,2013,MNE,12.553
Morocco,2013,MAR,29.998
Mozambique,2013,MOZ,170.249
Myanmar,2013,MMR,34.728
Namibia,2013,NAM,78.625
Nauru,2013,NRU,84.344
Nepal,2013,NPL,82.881
Netherlands,2013,NLD,3.962
New Caledonia,2013,NCL,20.261
New Zealand,2013,NZL,21.843
Nicaragua,2013,NIC,104.230
Niger,2013,NER,183.740
Nigeria,2013,NGA,127.747
North Macedonia,2013,MKD,20.062
Northern Mariana Islands,2013,MNP,43.835
Norway,2013,NOR,5.595
Oman,2013,OMN,15.381
Pakistan,2013,PAK,50.896
Palau,2013,PLW,29.731
Panama,2013,PAN,91.979
Papua New Guinea,2013,PNG,67.044
Paraguay,2013,PRY,76.799
Peru,2013,PER,59.087
Philippines,2013,PHL,57.429
Poland,2013,POL,14.280
Portugal,2013,PRT,10.295
Puerto Rico,2013,PRI,44.206
Qatar,2013,QAT,12.069
Romania,2013,ROU,34.895
Russian Federation,2013,RUS,28.205
Rwanda,2013,RWA,40.826
Samoa,2013,WSM,51.111
San Marino,2013,SMR,1.826
Sao Tome and Principe,2013,STP,109.970
Saudi Arabia,2013,SAU,16.147
Senegal,2013,SEN,78.346
Serbia,2013,SRB,18.419
Seychelles,2013,SYC,59.160
Sierra Leone,2013,SLE,125.276
Singapore,2013,SGP,3.203
Sint Maarten (Dutch part),2013,SXM,32.476
Slovak Republic,2013,SVK,22.947
Slovenia,2013,SVN,4.766
Solomon Islands,2013,SLB,60.800
Somalia,2013,SOM,134.919
South Africa,2013,ZAF,64.620
South Sudan,2013,SSD,111.825
Spain,2013,ESP,8.343
Sri Lanka,2013,LKA,19.785
St. Kitts and Nevis,2013,KNA,41.414
St. Lucia,2013,LCA,38.739
St. Martin (French part),2013,MAF,22.515
St. Vincent and the Grenadines,2013,VCT,64.050
Sudan,2013,SDN,81.609
Suriname,2013,SUR,61.121
Sweden,2013,SWE,5.667
Switzerland,2013,CHE,3.119
Syrian Arab Republic,2013,SYR,46.120
Tajikistan,2013,TJK,47.618
Tanzania,2013,TZA,121.148
Thailand,2013,THA,52.618
Timor-Leste,2013,TLS,41.122
Togo,2013,TGO,85.505
Tonga,2013,TON,25.355
Trinidad and Tobago,2013,TTO,39.676
Tunisia,2013,TUN,8.153
Turkiye,2013,TUR,28.299
Turkmenistan,2013,TKM,27.530
Turks and Caicos Islands,2013,TCA,23.216
Tuvalu,2013,TUV,33.071
Uganda,2013,UGA,130.443
Ukraine,2013,UKR,28.739
United Arab Emirates,2013,ARE,7.941
United Kingdom,2013,GBR,17.494
United States,2013,USA,26.528
Uruguay,2013,URY,60.544
Uzbekistan,2013,UZB,25.609
Vanuatu,2013,VUT,75.737
"Venezuela, RB",2013,VEN,94.666
Vietnam,2013,VNM,40.739
Virgin Islands (U.S.),2013,VIR,42.842
West Bank and Gaza,2013,PSE,48.976
"Yemen, Rep.",2013,YEM,72.506
Zambia,2013,ZMB,130.043
Zimbabwe,2013,ZWE,108.034
